1;omschrijving;level;VT12;controle;soort;VLB;control2;soort2;;klopt dit?;;;;;;;mate van belangrijkheid
2;vastgoed analysemodel;1
3;;2;;;;; ;;1;;;;;;;;0
4;Algemene objectinformatie [titel];2;ObjectGeneralInformationTitle;ObjectGeneralInformationTitle;Abstract;; ;;1;; ;;;;;;0
5;Algemene objectinformatie;3;ObjectInformation;ObjectInformation;Abstract;; ; ;3;;;;;;;;3
6;Interne id van het onderpand / object [as];3;InternalIDCollateralAxis;InternalIDCollateralAxis;Abstract;; ; ;3;;;;;;;;3
7;Interne id van het onderpand / object [typed member];3;InternalIDCollateralTypedMember;InternalIDCollateralTypedMember;String;; ; ;3;;;;;;;;3
8;Feitelijk gebruik van het pand;3;ActualUse;ActualUse;Enumeration;FvL_CVLocatie_tpObject_tpHuurders_tpVerhuurdJN_ti001_ti001_ti001;FvL_CVLocatie_tpObject_tpHuurders_tpVerhuurdJN_ti001_ti001_ti001;Number;3;??;alleen als het hele object aan één partij verhuurd wordt;;;;;;1
9;Huursituatie van het pand;3;LeasedOrUsedByOwner;LeasedOrUsedByOwner;Enumeration;FvL_CVLocatie_tpObject_tpHuurders_tpVerhuurEigenOndernemingJN_ti001_ti001_ti001;FvL_CVLocatie_tpObject_tpHuurders_tpVerhuurEigenOndernemingJN_ti001_ti001_ti001;Number;3;??;alleen als het hele object aan één partij verhuurd wordt;;;;;;1
10;Bouwjaar;3;ConstructionYear;ConstructionYear;String;FvL_CVLocatie_tpOuderdom_ti001;FvL_CVLocatie_tpOuderdom_ti001;Number;3;;;;;;;;1
11;Laatste renovatiejaar;3;RenovationYear;RenovationYear;String;;;;3;;;;;;;;3
12;Aantal dagen tot het volgende break-moment;3;DaysToNextBreak;DaysToNextBreak;Number;; ; ;3;opzeg moment;https://www.huurdersland.nl/woordenboek/break-optie/;;;;;;2
13;Theoretische beschikbare verhuurbare vloeroppervlakte;3;AreaForLease;AreaForLease;String;; ; ;3;;;;;;;;1
14;Methode theoretisch beschikbare hoeveelheid verhuurbare vloer oppervlakte;3;AreaForLeaseMethod;AreaForLeaseMethod;Enumeration;; ; ;3;;;;;;;;3
15;Kadastrale gemeente;3;CountyLandRegister;CountyLandRegister;String;; ; ;3;;;;;;;;3
16;Type eigendomsrecht;3;GroundInterest;GroundInterest;Enumeration;; ; ;3;;;;;;;;3
17;Opmerkingen ten aanzien van de kadastrale registratie;3;LandRegisterComments;LandRegisterComments;String;; ; ;3;;;;;;;;3
18;Een grondstuk kan meerdere eigenaren hebben, alleen het percentage van de gerapporteerde eigenaar wordt opgenomen. Op gebouwniveau wordt het oppervlakte gewogen met de oppervlakte van de percelen.;3;OwnershipPercentage;OwnershipPercentage;Number;; ; ;3;;;;;;;;3
19;Het perceel oppervlakte zoals bekend bij het kadaster;3;LandRegisterArea;LandRegisterArea;String;; ; ;3;;;;;;;;1
20;Informatie over objectreferentie;3;ObjectInformationReference;ObjectInformationReference;Abstract;;; ;3;;;;;;;;3
21;Interne id van het onderpand / object [as];3;InternalIDCollateralAxis;InternalIDCollateralAxis;Abstract;;; ;3;;;;;;;;3
22;Interne id van het onderpand / object [typed member];3;InternalIDCollateralTypedMember;InternalIDCollateralTypedMember;String;;; ;3;;;;;;;;3
23;Object referentie toegekend door;3;ObjectReferenceAllocatedBy;ObjectReferenceAllocatedBy;Enumeration;; ; ;3;;;;;;;;3
24;Object referentie toegekend door (beschrijving);3;ObjectReferenceAllocatedByDescription;ObjectReferenceAllocatedByDescription;String;; ; ;3;;;;;;;;3
25;Omschrijving unieke object referentie;3;ObjectReferenceDescription;ObjectReferenceDescription;String;; ; ;3;;;;;;;;3
26;Typering van het object;3;ObjectTyping;ObjectTyping;Abstract;;; ;3;;;;;;;;3
27;Interne id van het onderpand / object [as];3;InternalIDCollateralAxis;InternalIDCollateralAxis;Abstract;;; ;3;;;;;;;;3
28;Interne id van het onderpand / object [typed member];3;InternalIDCollateralTypedMember;InternalIDCollateralTypedMember;String;;; ;3;;;;;;;;3
29;Een beschrijving van het pand;3;TypingDescription;TypingDescription;String;FvL_CVLocatie_tpObject_tpObjectNaam_ti001_ti001;FvL_CVLocatie_tpObject_tpObjectNaam_ti001_ti001;String;3;??;;;;;;;1
30;Sector type;3;IPDtype;IPDtype;Enumeration;FvL_CVLocatie_tpObject_tpSoortOG_ti001_ti001;FvL_CVLocatie_tpObject_tpSoortOG_ti001_ti001;Number;3;??;;;;;;;1
31;Subsector type;3;IPDSubtype;IPDSubtype;Enumeration;; ; ;3;;;;;;;;3
