omschrijving;level;VT12;soort;importance;required;zichtbaar
vastgoed analysemodel;1
Algemene objectinformatie [titel];2;ObjectGeneralInformationTitle;Abstract;1;1;1
Algemene objectinformatie;3;ObjectInformation;Abstract;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van het onderpand / object [as];3;InternalIDCollateralAxis;Abstract;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van het onderpand / object [typed member];3;InternalIDCollateralTypedMember;String;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Feitelijk gebruik van het pand;3;ActualUse;Enumeration;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Huursituatie van het pand;3;LeasedOrUsedByOwner;Enumeration;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Bouwjaar;3;ConstructionYear;String;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Laatste renovatiejaar;3;RenovationYear;String;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Aantal dagen tot het volgende break-moment;3;DaysToNextBreak;Number;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Theoretische beschikbare verhuurbare vloeroppervlakte;3;AreaForLease;String;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Methode theoretisch beschikbare hoeveelheid verhuurbare vloer oppervlakte;3;AreaForLeaseMethod;Enumeration;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Kadastrale gemeente;3;CountyLandRegister;String;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Type eigendomsrecht;3;GroundInterest;Enumeration;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Opmerkingen ten aanzien van de kadastrale registratie;3;LandRegisterComments;String;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
