COMPONENT;KEY;EN;NL;
valuation;wizard_step_intro;Enter a name and choose a forecast project for your valuation project.;Geef het waarderingsproject een naam, en kies het prognoseproject waarop u de waardering wilt baseren.;
valuation;no_projects_message;No valuation projects have been made yet. If a forecast project has been added, you can create a new valuation project based on that project using the ‘New valuation project’ button.;Er is nog geen waarderingsproject gemaakt. Als u een prognoseproject heeft, dan kunt u een waarderingsproject aanmaken middels de knop ‘Nieuw waarderingsproject’.;
prognose;equity;Equity;Activa;
k3;no_historic_data_found;No history figures found for this customer.;Er zijn geen historische cijfers aangetroffen voor deze cliënt.;
prognose;please_wait_creating_project;You can create a new forecast project based on historical data. A project based on periods (months or 4-week) can contain 6 years at most, while a project based on years can contain 25 years at most.;U kunt hier een nieuw prognoseproject aanmaken. Een project gebaseerd op periodes (maanden of 4-weekse periodes) kan maximaal 6 jaren bevatten. Een project gebaseerd op jaren kan maximaal 25 jaren bevatten.;
prognose;time_unit_based_freq;A project can only contain a maximum of six years.;Een project kan maximaal zes jaren bevatten.;
prognose;financial_year_freq;A project can only contain a maximum of 25 forecast years.;Een project kan maximaal 25 prognosejaren bevatten.;
DEF;What entity applies to this company?;What entity applies to this company?;Welke entiteit is geldig voor het bedrijf?;
DEF;Companymodel & exploitation;Companymodel & exploitation;Bedrijfsmodel & Exploitatie;
DEF;Business model;Business model;Bedrijfsmodel;
DEF;Business activity;Business activity;Feitelijke bedrijfsactiviteit;
DEF;Sector;Sector;Sector;
DEF;AGIC;AGIC;AGIC;
DEF;SBI;SBI;SBI;
DEF;Gross Turnover;Gross Turnover;Bruto Omzet;
DEF;Gross Turnover percentage;Gross Turnover percentage;Bruto Omzet percentage;
DEF;EBITDA percentage;EBITDA percentage;EBITDA percentage;
DEF;Business model description;Business model description;Bedrijfsmodel omschrijving;
DEF;Which way is value added?;Which way is value added?;Wijze waarop waarde toegevoegd wordt;
DEF;Please describe business model;Please describe business model;Omschrijf het bedrijfsmodel;
DEF;This is the annual gross turnover;This is the annual gross turnover;Dit betreft de jaarlijkse bruto omzet;
DEF;Add Business activity;Add Business activity;Andere bedrijfsactiviteit;
DEF;Additional Sector;Additional Sector;Additionele sector;
DEF;Additional AGIC;Additional AGIC;Additionele AGIC;
DEF;Please describe business model for additional AGIC;Please describe business model for additional AGIC;Omschrijf het bedrijfsmodel voor de additionele AGIC;
DEF;What are the operating expenses?;What are the operating expenses?;Hoeveel bedragen de Exploitatiekosten?;
DEF;Turnover / Operating ratio;Turnover / Operating ratio;Omzet/Exploitatie verhouding;
DEF;Operating / Turnover ratio;Operating / Turnover ratio;Exploitatie/Omzet verhouding;
DEF;What legal status is applicable?;What legal status is applicable?;Welke rechtsvorm is van toepassing?;
DEF;To what extent is the progress of the business depending on the involvement of the owner / board / management;To what extent is the progress of the business depending on the involvement of the owner / board / management;In welke mate is de voortgang van het bedrijf afhankelijk van de bemoeienis van de eigenaar/bestuurder/management;
DEF;Is the board able to Plan activities and results;Is the board able to Plan activities and results;In welke mate is het management in staat om activiteiten en resultaten te Plannen?;
DEF;Is the board able to Monitor activities and results;Is the board able to Monitor activities and results;In welke mate is het management in staat om activiteiten en resultaten te Monitoren?;
DEF;Is the board able to Control activities and results;Is the board able to Control activities and results;In welke mate is het management in staat om activiteiten en resultaten te Controleren?;
DEF;Isthe ownerable to Plan activities and results;Is the owner able to Plan activities and results;In welke mate is de eigenaar in staat om activiteiten en resultaten te Plannen?;
DEF;Isthe ownerable to Monitor activities and results;Is the owner able to Monitor activities and results;In welke mate is de eigenaar in staat om activiteiten en resultaten te Monitoren?;
DEF;Isthe ownerable to Control activities and results;Is the owner able to Control activities and results;In welke mate is de eigenaar in staat om activiteiten en resultaten te Controleren?;
DEF;0:the owner |1:the board |2:the board |3:the board |4:the board ;0:the owner|1:the board|2:the board|3:the board|4:the board;0:de eigenaar|1:het management|2:het management|3:het management|4:het management;
DEF;0:the owner|1:the board|2:the board|3:the board|4:the board;0:the owner|1:the board|2:the board|3:the board|4:the board;0:de eigenaar|1:het management|2:het management|3:het management|4:het management;
DEF;the owner;the owner;de eigenaar;
DEF;the board;the board;het management;
