00 internationale organen
 0000  VERVALLEN internationale organen (EEG)
02 Centrale Bank
 0200  Centrale Bank Binnenland
 0210  Centrale Bank MUM
 0220  Centrale Bank OV. EG
 0230  Centrale Bank OV. ZONE A
 0240  Centrale Bank ZONE B
03 Kredietinstellingen
 0300  Kredietinstellingen Binnenland
 0310  Kredietinstellingen MUM
 0320  Kredietinstellingen OV. EG
 0321  Europese Investerings Bank
 0322  Europees Investerings Fonds
 0330  Kredietinstellingen OV. ZONE A
 0340  Kredietinstellingen ZONE B
04 Overige MFIas
 0400  Overige MFIas Binnenland
 0410  Overige MFIas MUM
 0420  Overige MFIas OV. EG
 0430  Overige MFIas OV. ZONE A
 0440  Overige MFIas ZONE B
06 Centrale Overheid
 0600  Centrale Overheid Binnenland
 0610  Centrale Overheid MUM
 0620  Centrale Overheid OV. EG
 0630  Centrale Overheid OV. ZONE A
 0640  Centrale Overheid ZONE B
08 Deelstaat-overheid
 0800  Deelstaat-overheid Binnenland
 0810  Deelstaat-overheid MUM
 0820  Deelstaat-overheid OV. EG
 0830  Deelstaat-overheid OV. ZONE A
 0840  Deelstaat-overheid ZONE B
09 Lagere Overheid
 0900  Lagere Overheid Binnenland
 0910  Lagere Overheid MUM
 0920  Lagere Overheid OV. EG
 0921  internationale organen (EG)
 0921  VERVALLEN internationale organen (EEG)
 0930  Lagere Overheid OV. ZONE A
 0940  Lagere Overheid ZONE B
10 Wettelijke Sociale Verzekeringsinstellingen
 1000  Wettelijke Sociale Verzekeringsinstellingen Binnenland
 1010  Wettelijke Sociale Verzekeringsinstellingen MUM
 1020  Wettelijke Sociale Verzekeringsinstellingen OV. EG
 1030  Wettelijke Sociale Verzekeringsinstellingen OV. ZONE A
 1040  Wettelijke Sociale Verzekeringsinstellingen ZONE B
12 Verzekeringsinstellingen en pensioenfondsen
 1200  Verzekeringsinstellingen en pensioenfondsen Binnenland
 1210  Verzekeringsinstellingen en pensioenfondsen MUM
 1220  Verzekeringsinstellingen en pensioenfondsen OV. EG
 1230  Verzekeringsinstellingen en pensioenfondsen OV. ZONE A
 1240  Verzekeringsinstellingen en pensioenfondsen ZONE B
13 Overige financiële instellingen
 1300  Overige financiële instellingen Binnenland
 1310  Overige financiële instellingen MUM
 1320  Overige financiële instellingen OV. EG
 1330  Overige financiële instellingen OV. ZONE A
 1340  Overige financiële instellingen ZONE B
14 Niet-financiële particuliere bedrijven
 1400  Niet-financiële particuliere bedrijven Binnenland
 1410  Niet-financiële particuliere bedrijven MUM
 1420  Niet-financiële particuliere bedrijven OV. EG
 1430  Niet-financiële particuliere bedrijven OV. ZONE A
 1440  Niet-financiële particuliere bedrijven ZONE B
15 Niet-financiële overheidsbedrijven
 1500  Niet-financiële overheidsbedrijven Binnenland
 1510  Niet-financiële overheidsbedrijven MUM
 1520  Niet-financiële overheidsbedrijven OV. EG
 1530  Niet-financiële overheidsbedrijven OV. ZONE A
 1540  Niet-financiële overheidsbedrijven ZONE B
16 Huishoudens
 1600  Huishoudens Binnenland
 1610  Huishoudens MUM
 1620  Huishoudens OV. EG
 1630  Huishoudens OV. ZONE A
 1640  Huishoudens ZONE B
88 IFRS Coda
 8888  IFRS Coda
90 Overige (zekerheden)
 9000  Zekerheid hypotheek overheidsgarantie
 9001  Zekerheid Bouwfonds Trust
 9002  Solvabiliteitsvrije zekerheden (garantie)
 9003  Solvabiliteitsvrije zekerheden (onderpand)
 9004  Bankgarantie S-20 %
 9005  Solvabilitiet S-20 % (niet bank)
 9006  Zekerheid Pfandbriefe S-10%
 9007  Zekerheid Woninghypotheken S-50%
 9008  Compensaties
 9009  Zekerheid Quion/HVO
 9999  Overige
