;"Generated by FINAN XBRL Taxonomy Viewer v4.4.1"
;"Taxonomy: FinkRptFinancieringsaanvraag"

"Sort";"ID";"Level";"Label en";"Label nl";"PreferredLabelRole";"ElementName";"NamespaceAlias";"FinanVarName";"Url";"SubstitutionGroup";"UseCount";"IsTuple";"IsTupleKey";"IsInThisTuple";"TupleDepth";"TupleInstanceOrder";"MinTupleInstances";"MaxTupleInstances";"ElementType";"ShortElementType";"BaseType";"DataType (FMT4)";"InputRequired";"Pattern";"Enumeration";"FractionDigits";"TotalDigits";"Length";"MinLength";"MaxLength";"MinInclusive";"MaxInclusive";"MinExclusive";"MaxExclusive";"PeriodType";"Balance";"Abstract";"Nillable";"Documentation en";"Documentation nl";"Ddef.Guidance en";"Ddef.Guidance nl";"References"
1;"kvk-abstr:BalanceSheetTitle";1;"Balance sheet [title]";"Balans [titel]";"";"BalanceSheetTitle";"kvk-abstr";"BalanceSheetTitle";"http://www.nltaxonomie.nl/10.0/report/kvk/abstracts/kvk-abstracts#BalanceSheetTitle";"sbr:presentationItem";1;0;0;;"0";"0";"0";"0";"xbrli:stringItemType";"string";"xbrli:stringItemType";"Abstract";"0";;;;;;;;;;;;"Duration";"None";1;0;"";"";"";"";""
2;"kvk-abstr:AssetsTitle";2;"   Assets [title]";"   Activa [titel]";"";"AssetsTitle";"kvk-abstr";"AssetsTitle";"http://www.nltaxonomie.nl/10.0/report/kvk/abstracts/kvk-abstracts#AssetsTitle";"sbr:presentationItem";1;0;0;;"0";"0";"0";"0";"xbrli:stringItemType";"string";"xbrli:stringItemType";"Abstract";"0";;;;;;;;;;;;"Duration";"None";1;0;"";"";"";"";""
3;"kvk-abstr:AssetsNoncurrentTitle";3;"      Non-current assets [title]";"      Vaste activa [titel]";"";"AssetsNoncurrentTitle";"kvk-abstr";"AssetsNoncurrentTitle";"http://www.nltaxonomie.nl/10.0/report/kvk/abstracts/kvk-abstracts#AssetsNoncurrentTitle";"sbr:presentationItem";1;0;0;;"0";"0";"0";"0";"xbrli:stringItemType";"string";"xbrli:stringItemType";"Abstract";"0";;;;;;;;;;;;"Duration";"None";1;0;"";"";"";"";""
4;"venj-bw2-i:IntangibleAssets";4;"         Intangible assets";"         Immateriële vaste activa";"";"IntangibleAssets";"venj-bw2-i";"IntangibleAssets";"http://www.nltaxonomie.nl/10.0/basis/venj/items/venj-bw2-data#IntangibleAssets";"xbrli:item";1;0;0;;"0";"0";"0";"0";"nl-types:monetaryNoDecimalsItemType";"monetaryNoDecimals";"nl-types:monetary20ItemType";"Monetary";"0";"";"";"0";"";"";"";"";"";"";"";"";"Instant";"Debit";0;0;"";"";"";"";"Article: 1, IssueDate: 2015-01-01, Name: Besluit jaarrekening banken|Article: 1, IssueDate: 2015-01-01, Name: Besluit modellen jaarrekening|Article: 364, IssueDate: 2015-01-01, Name: Burgerlijk wetboek boek 2, Paragraph: 2|Article: 365, IssueDate: 2015-01-01, Name: Burgerlijk wetboek boek 2|Article: 368, IssueDate: 2015-01-01, Name: Burgerlijk wetboek boek 2, Paragraph: 1|Article: 429, IssueDate: 2015-01-01, Name: Burgerlijk wetboek boek 2|Chapter: B1, IssueDate: 2015-01-01, Name: Richtlijnen voor de jaarverslaggeving voor kleine rechtspersonen, Paragraph: 101"
5;"venj-bw2-i:PropertyPlantEquipment";4;"         Property, plant and equipment";"         Materiële vaste activa";"";"PropertyPlantEquipment";"venj-bw2-i";"PropertyPlantEquipment";"http://www.nltaxonomie.nl/10.0/basis/venj/items/venj-bw2-data#PropertyPlantEquipment";"xbrli:item";1;0;0;;"0";"0";"0";"0";"nl-types:monetaryNoDecimalsItemType";"monetaryNoDecimals";"nl-types:monetary20ItemType";"Monetary";"0";"";"";"0";"";"";"";"";"";"";"";"";"Instant";"Debit";0;0;"";"";"";"";"Article: 1, IssueDate: 2015-01-01, Name: Besluit jaarrekening banken|Article: 5, IssueDate: 2015-01-01, Name: Besluit jaarrekening banken|Article: 1, IssueDate: 2015-01-01, Name: Besluit modellen jaarrekening|Article: 364, IssueDate: 2015-01-01, Name: Burgerlijk wetboek boek 2, Paragraph: 2|Article: 366, IssueDate: 2015-01-01, Name: Burgerlijk wetboek boek 2|Article: 368, IssueDate: 2015-01-01, Name: Burgerlijk wetboek boek 2, Paragraph: 1|Chapter: 212, IssueDate: 2015-01-01, Name: Richtlijnen voor de jaarverslaggeving, Paragraph: 601|Chapter: B2, IssueDate: 2015-01-01, Name: Richtlijnen voor de jaarverslaggeving voor kleine rechtspersonen, Paragraph: 104"
6;"venj-bw2-i:FinancialAssets";4;"         Financial assets";"         Financiële vaste activa";"";"FinancialAssets";"venj-bw2-i";"FinancialAssets";"http://www.nltaxonomie.nl/10.0/basis/venj/items/venj-bw2-data#FinancialAssets";"xbrli:item";1;0;0;;"0";"0";"0";"0";"nl-types:monetaryNoDecimalsItemType";"monetaryNoDecimals";"nl-types:monetary20ItemType";"Monetary";"0";"";"";"0";"";"";"";"";"";"";"";"";"Instant";"Debit";0;0;"";"";"";"";"Article: 1, IssueDate: 2015-01-01, Name: Besluit modellen jaarrekening|Article: 364, IssueDate: 2015-01-01, Name: Burgerlijk wetboek boek 2, Paragraph: 2|Article: 367, IssueDate: 2015-01-01, Name: Burgerlijk wetboek boek 2|Article: 368, IssueDate: 2015-01-01, Name: Burgerlijk wetboek boek 2, Paragraph: 1|Chapter: 214, IssueDate: 2015-01-01, Name: Richtlijnen voor de jaarverslaggeving, Paragraph: 603|Chapter: B3, IssueDate: 2015-01-01, Name: Richtlijnen voor de jaarverslaggeving voor kleine rechtspersonen, Paragraph: 101"
7;"venj-bw2-i:AssetsNoncurrent";4;"         Non-current assets";"         Vaste activa";"";"AssetsNoncurrent";"venj-bw2-i";"AssetsNoncurrent";"http://www.nltaxonomie.nl/10.0/basis/venj/items/venj-bw2-data#AssetsNoncurrent";"xbrli:item";2;0;0;;"0";"0";"0";"0";"nl-types:monetaryNoDecimalsItemType";"monetaryNoDecimals";"nl-types:monetary20ItemType";"Monetary";"0";"";"";"0";"";"";"";"";"";"";"";"";"Instant";"Debit";0;0;"";"";"";"";"Article: 1, IssueDate: 2015-01-01, Name: Besluit modellen jaarrekening|Article: 5, IssueDate: 2015-01-01, Name: Besluit modellen jaarrekening, Paragraph: 1|Article: 364, IssueDate: 2015-01-01, Name: Burgerlijk wetboek boek 2, Paragraph: 1|Chapter: 190, IssueDate: 2015-01-01, Name: Richtlijnen voor de jaarverslaggeving, Paragraph: 205|Chapter: A2, IssueDate: 2015-01-01, Name: Richtlijnen voor de jaarverslaggeving voor kleine rechtspersonen, Paragraph: 105"
8;"kvk-abstr:AssetsCurrentTitle";3;"      Current assets [title]";"      Vlottende activa [titel]";"";"AssetsCurrentTitle";"kvk-abstr";"AssetsCurrentTitle";"http://www.nltaxonomie.nl/10.0/report/kvk/abstracts/kvk-abstracts#AssetsCurrentTitle";"sbr:presentationItem";1;0;0;;"0";"0";"0";"0";"xbrli:stringItemType";"string";"xbrli:stringItemType";"Abstract";"0";;;;;;;;;;;;"Duration";"None";1;0;"";"";"";"";""
9;"venj-bw2-i:Inventories";4;"         Inventories";"         Voorraden";"";"Inventories";"venj-bw2-i";"Inventories";"http://www.nltaxonomie.nl/10.0/basis/venj/items/venj-bw2-data#Inventories";"xbrli:item";1;0;0;;"0";"0";"0";"0";"nl-types:monetaryNoDecimalsItemType";"monetaryNoDecimals";"nl-types:monetary20ItemType";"Monetary";"0";"";"";"0";"";"";"";"";"";"";"";"";"Instant";"Debit";0;0;"";"";"";"";"Article: 1, IssueDate: 2015-01-01, Name: Besluit modellen jaarrekening|Article: 364, IssueDate: 2015-01-01, Name: Burgerlijk wetboek boek 2, Paragraph: 3|Article: 369, IssueDate: 2015-01-01, Name: Burgerlijk wetboek boek 2|Chapter: 220, IssueDate: 2015-01-01, Name: Richtlijnen voor de jaarverslaggeving, Paragraph: 501|Chapter: B4, IssueDate: 2015-01-01, Name: Richtlijnen voor de jaarverslaggeving voor kleine rechtspersonen, Paragraph: 101"
10;"rj-i:ConstructionContractsAssets";4;"         Construction contracts (assets)";"         Onderhanden projecten in opdracht van derden (activa)";"";"ConstructionContractsAssets";"rj-i";"ConstructionContractsAssets";"http://www.nltaxonomie.nl/10.0/basis/rj/items/rj-data#ConstructionContractsAssets";"xbrli:item";1;0;0;;"0";"0";"0";"0";"nl-types:monetaryNoDecimalsItemType";"monetaryNoDecimals";"nl-types:monetary20ItemType";"Monetary";"0";"";"";"0";"";"";"";"";"";"";"";"";"Instant";"Debit";0;0;"";"";"";"";"Chapter: 221, IssueDate: 2015-01-01, Name: Richtlijnen voor de jaarverslaggeving, Paragraph: 406|Chapter: 221, IssueDate: 2015-01-01, Name: Richtlijnen voor de jaarverslaggeving, Paragraph: 409|Chapter: B5, IssueDate: 2015-01-01, Name: Richtlijnen voor de jaarverslaggeving voor kleine rechtspersonen, Paragraph: 322"
