;"Generated by FINAN XBRL Taxonomy Viewer v4.1.5"
;"Taxonomy: BT11(FrcRptVpb2016)"

"Sort";"ID";"Level";"Label nl";"Label en";"Label de";"Label fr";"PreferredLabelRole";"ElementName";"NamespaceAlias";"FinanVarName";"Url";"SubstitutionGroup";"UseCount";"IsTuple";"IsInThisTuple";"TupleDepth";"TupleInstanceOrder";"MinTupleInstances";"MaxTupleInstances";"ElementType";"ShortElementType";"BaseType";"DataType (FMT4)";"InputRequired";"Pattern";"Enumeration";"FractionDigits";"TotalDigits";"Length";"MinLength";"MaxLength";"MinInclusive";"MaxInclusive";"MinExclusive";"MaxExclusive";"PeriodType";"Balance";"Abstract";"Nillable";"Documentation nl";"Documentation en";"Documentation de";"Documentation fr";"Ddef.Guidance nl";"Ddef.Guidance en";"Ddef.Guidance de";"Ddef.Guidance fr";"References"
1;"bd-abstr:CommonPartTitle";1;"Algemeen deel";"Algemeen deel";"Algemeen deel";"Algemeen deel";"";"CommonPartTitle";"bd-abstr";"CommonPartTitle";"http://www.nltaxonomie.nl/nt11/bd/20161207/presentation/bd-abstracts#CommonPartTitle";"sbr:presentationItem";1;0;;"0";"0";"0";"0";"xbrli:stringItemType";"string";"xbrli:stringItemType";"Abstract";"0";;;;;;;;;;;;"Duration";"None";1;0;"";"";"";"";"";"";"";"";""
2;"bd-bedr:RequestExplicitDecisionTaxAdministrationExists";2;"   Verzoek om expliciete uitspraak Belastingdienst van toepassing";"   Verzoek om expliciete uitspraak Belastingdienst van toepassing";"   Verzoek om expliciete uitspraak Belastingdienst van toepassing";"   Verzoek om expliciete uitspraak Belastingdienst van toepassing";"";"RequestExplicitDecisionTaxAdministrationExists";"bd-bedr";"RequestExplicitDecisionTaxAdministrationExists";"http://www.nltaxonomie.nl/nt11/bd/20161207/dictionary/bd-bedrijven#RequestExplicitDecisionTaxAdministrationExists";"xbrli:item";1;0;;"0";"0";"0";"0";"xbrli:booleanItemType";"boolean";"xbrli:booleanItemType";"Boolean";"0";;;;;;;;;;;;"Duration";"None";0;0;"";"";"";"";"";"";"";"";"Name: Besluit voorkoming dubbele belasting|Chapter: gsp definities, Name: belastingdienst taxonomie definities.pdf, Paragraph: 118287"
3;"bd-bedr:RequestExplicitDecisionTaxAdministrationDescription";2;"   Toelichting verzoek om uitspraak van de Belastingdienst";"   Toelichting verzoek om uitspraak van de Belastingdienst";"   Toelichting verzoek om uitspraak van de Belastingdienst";"   Toelichting verzoek om uitspraak van de Belastingdienst";"";"RequestExplicitDecisionTaxAdministrationDescription";"bd-bedr";"RequestExplicitDecisionTaxAdministrationDescription";"http://www.nltaxonomie.nl/nt11/bd/20161207/dictionary/bd-bedrijven#RequestExplicitDecisionTaxAdministrationDescription";"xbrli:item";1;0;;"0";"0";"0";"0";"bd-types:anstring6930VItemType";"anstring6930V";"xbrli:tokenItemType";"String";"0";"";"";"";"";"";"1";"6930";"";"";"";"";"Duration";"None";0;0;"";"";"";"";"";"";"";"";"Chapter: gsp definities, Name: belastingdienst taxonomie definities.pdf, Paragraph: 118288|Article: 3.8, Name: Wet IB2001"
4;"bd-abstr:SpecificationsTitle";2;"   Toelichting";"   Toelichting";"   Toelichting";"   Toelichting";"";"SpecificationsTitle";"bd-abstr";"SpecificationsTitle";"http://www.nltaxonomie.nl/nt11/bd/20161207/presentation/bd-abstracts#SpecificationsTitle";"sbr:presentationItem";1;0;;"0";"0";"0";"0";"xbrli:stringItemType";"string";"xbrli:stringItemType";"Abstract";"0";;;;;;;;;;;;"Duration";"None";1;0;"";"";"";"";"";"";"";"";""
5;"bd-abstr:CorporationTaxGeneralDataTitle";3;"      Algemene gegevens VpB";"      Algemene gegevens VpB";"      Algemene gegevens VpB";"      Algemene gegevens VpB";"";"CorporationTaxGeneralDataTitle";"bd-abstr";"CorporationTaxGeneralDataTitle";"http://www.nltaxonomie.nl/nt11/bd/20161207/presentation/bd-abstracts#CorporationTaxGeneralDataTitle";"sbr:presentationItem";1;0;;"0";"0";"0";"0";"xbrli:stringItemType";"string";"xbrli:stringItemType";"Abstract";"0";;;;;;;;;;;;"Duration";"None";1;0;"";"";"";"";"";"";"";"";""
6;"bd-bedr:InnovationBoxUsed";4;"         Gebruik innovatiebox";"         Gebruik innovatiebox";"         Gebruik innovatiebox";"         Gebruik innovatiebox";"";"InnovationBoxUsed";"bd-bedr";"InnovationBoxUsed";"http://www.nltaxonomie.nl/nt11/bd/20161207/dictionary/bd-bedrijven#InnovationBoxUsed";"xbrli:item";1;0;;"0";"0";"0";"0";"xbrli:booleanItemType";"boolean";"xbrli:booleanItemType";"Boolean";"0";;;;;;;;;;;;"Duration";"None";0;0;"";"";"";"";"";"";"";"";"Name: Belastingplan 2010, Subclause: overgangsrecht art VIII|Article: 12b, Name: Wet VPB1969, Paragraph: 1|Chapter: gsp definities, Name: belastingdienst taxonomie definities.pdf, Paragraph: 507361|Article: XIII, Name: Wet Werken Aan Winst, Paragraph: 3"
7;"bd-bedr:HoldingOrFinanciaOrlLicenceActivitesExists";4;"         Internationale houdster-, licentie-, financieringsactiviteiten verricht";"         Internationale houdster-, licentie-, financieringsactiviteiten verricht";"         Internationale houdster-, licentie-, financieringsactiviteiten verricht";"         Internationale houdster-, licentie-, financieringsactiviteiten verricht";"";"HoldingOrFinanciaOrlLicenceActivitesExists";"bd-bedr";"HoldingOrFinanciaOrlLicenceActivitesExists";"http://www.nltaxonomie.nl/nt11/bd/20161207/dictionary/bd-bedrijven#HoldingOrFinanciaOrlLicenceActivitesExists";"xbrli:item";1;0;;"0";"0";"0";"0";"xbrli:booleanItemType";"boolean";"xbrli:booleanItemType";"Boolean";"0";;;;;;;;;;;;"Duration";"None";0;0;"";"";"";"";"";"";"";"";"Article: 8b, Name: Wet VPB1969|Chapter: gsp definities, Name: belastingdienst taxonomie definities.pdf, Paragraph: 118483"
8;"bd-bedr:InvestmentInstitutionsDecreeApplicationExists";4;"         Toepassing besluit beleggingsinstellingen";"         Toepassing besluit beleggingsinstellingen";"         Toepassing besluit beleggingsinstellingen";"         Toepassing besluit beleggingsinstellingen";"";"InvestmentInstitutionsDecreeApplicationExists";"bd-bedr";"InvestmentInstitutionsDecreeApplicationExists";"http://www.nltaxonomie.nl/nt11/bd/20161207/dictionary/bd-bedrijven#InvestmentInstitutionsDecreeApplicationExists";"xbrli:item";1;0;;"0";"0";"0";"0";"xbrli:booleanItemType";"boolean";"xbrli:booleanItemType";"Boolean";"0";;;;;;;;;;;;"Duration";"None";0;0;"";"";"";"";"";"";"";"";"Article: 28, Name: Wet VPB1969|Chapter: gsp definities, Name: belastingdienst taxonomie definities.pdf, Paragraph: 118484"
9;"bd-abstr:InvestmentFundReInvestmentReserveTitle";4;"         Herbeleggingsreserve beleggingsinstelling";"         Herbeleggingsreserve beleggingsinstelling";"         Herbeleggingsreserve beleggingsinstelling";"         Herbeleggingsreserve beleggingsinstelling";"";"InvestmentFundReInvestmentReserveTitle";"bd-abstr";"InvestmentFundReInvestmentReserveTitle";"http://www.nltaxonomie.nl/nt11/bd/20161207/presentation/bd-abstracts#InvestmentFundReInvestmentReserveTitle";"sbr:presentationItem";1;0;;"0";"0";"0";"0";"xbrli:stringItemType";"string";"xbrli:stringItemType";"Abstract";"0";;;;;;;;;;;;"Duration";"None";1;0;"";"";"";"";"";"";"";"";""
10;"bd-bedr:InvestmentFundReInvestmentReserveAddition";5;"            Toevoeging herbeleggingsreserve beleggingsinstelling";"            Toevoeging herbeleggingsreserve beleggingsinstelling";"            Toevoeging herbeleggingsreserve beleggingsinstelling";"            Toevoeging herbeleggingsreserve beleggingsinstelling";"";"InvestmentFundReInvestmentReserveAddition";"bd-bedr";"InvestmentFundReInvestmentReserveAddition";"http://www.nltaxonomie.nl/nt11/bd/20161207/dictionary/bd-bedrijven#InvestmentFundReInvestmentReserveAddition";"xbrli:item";1;0;;"0";"0";"0";"0";"nl-types:nonNegativeMonetaryNoDecimalsItemType";"nonNegativeMonetaryNoDecimals";"nl-types:monetary20ItemType";"Monetary";"0";"";"";"0";"";"";"";"";"0";"";"";"";"Duration";"None";0;0;"";"";"";"";"";"";"";"";"Article: 28, Name: Wet VPB1969|Chapter: gsp definities, Name: belastingdienst taxonomie definities.pdf, Paragraph: 512363"
