;"Generated by FINAN XBRL Taxonomy Viewer v4.4.1"
;"Taxonomy: BT11(FrcRptKredietPrognosePeriodiekKleinNatuurlijkPersoonCategoriaal2016)"

"Sort";"ID";"Level";"Label en";"Label nl";"Label de";"Label fr";"PreferredLabelRole";"ElementName";"NamespaceAlias";"FinanVarName";"Url";"SubstitutionGroup";"UseCount";"IsTuple";"IsTupleKey";"IsInThisTuple";"TupleDepth";"TupleInstanceOrder";"MinTupleInstances";"MaxTupleInstances";"ElementType";"ShortElementType";"BaseType";"DataType (FMT4)";"InputRequired";"Pattern";"Enumeration";"FractionDigits";"TotalDigits";"Length";"MinLength";"MaxLength";"MinInclusive";"MaxInclusive";"MinExclusive";"MaxExclusive";"PeriodType";"Balance";"Abstract";"Nillable";"Documentation en";"Documentation nl";"Documentation de";"Documentation fr";"Ddef.Guidance en";"Ddef.Guidance nl";"Ddef.Guidance de";"Ddef.Guidance fr";"References"
1;"frc-abstr:AnnualReportBanksTitle";1;"Annual report [title]";"Jaarverantwoording [titel]";"Jaarverantwoording [titel]";"Jaarverantwoording [titel]";"";"AnnualReportBanksTitle";"frc-abstr";"AnnualReportBanksTitle";"https://www.sbrbanken.nl/bt11/frc/20161209/presentation/frc-abstracts#AnnualReportBanksTitle";"sbr:presentationItem";1;0;0;;"0";"0";"0";"0";"xbrli:stringItemType";"string";"xbrli:stringItemType";"Abstract";"0";;;;;;;;;;;;"Duration";"None";1;0;"";"";"";"";"";"";"";"";""
2;"frc-abstr:DocumentEntityInformationBanksTitle";2;"   Document and entity information [title]";"   Informatie over de rapportage en de rechtspersoon [titel]";"   Informatie over de rapportage en de rechtspersoon [titel]";"   Informatie over de rapportage en de rechtspersoon [titel]";"";"DocumentEntityInformationBanksTitle";"frc-abstr";"DocumentEntityInformationBanksTitle";"https://www.sbrbanken.nl/bt11/frc/20161209/presentation/frc-abstracts#DocumentEntityInformationBanksTitle";"sbr:presentationItem";1;0;0;;"0";"0";"0";"0";"xbrli:stringItemType";"string";"xbrli:stringItemType";"Abstract";"0";;;;;;;;;;;;"Duration";"None";1;0;"";"";"";"";"";"";"";"";""
3;"frc-abstr:EntityInformationBanksTitle";3;"      Entity information [title]";"      Informatie over de rechtspersoon [titel]";"      Informatie over de rechtspersoon [titel]";"      Informatie over de rechtspersoon [titel]";"";"EntityInformationBanksTitle";"frc-abstr";"EntityInformationBanksTitle";"https://www.sbrbanken.nl/bt11/frc/20161209/presentation/frc-abstracts#EntityInformationBanksTitle";"sbr:presentationItem";1;0;0;;"0";"0";"0";"0";"xbrli:stringItemType";"string";"xbrli:stringItemType";"Abstract";"0";;;;;;;;;;;;"Duration";"None";1;0;"";"";"";"";"";"";"";"";""
4;"frc-lr:EntityInformation";4;"         Information about the entity";"         Informatie over de rechtspersoon";"         Informatie over de rechtspersoon";"         Informatie over de rechtspersoon";"";"EntityInformation";"frc-lr";"EntityInformation";"https://www.sbrbanken.nl/bt11/frc/20161209/dictionary/frc-linkroles#EntityInformation";"";1;0;0;;"0";"0";"0";"0";"";"";"";"Abstract";"0";;;;;;;;;;;;"Other";"None";1;0;"";"";"";"";"";"";"";"";""
5;"frc-abstr:NaturalPersonInformationBanksTitle";3;"      Natural person information [title]";"      Informatie over de natuurlijk persoon [titel]";"      Informatie over de natuurlijk persoon [titel]";"      Informatie over de natuurlijk persoon [titel]";"";"NaturalPersonInformationBanksTitle";"frc-abstr";"NaturalPersonInformationBanksTitle";"https://www.sbrbanken.nl/bt11/frc/20161209/presentation/frc-abstracts#NaturalPersonInformationBanksTitle";"sbr:presentationItem";1;0;0;;"0";"0";"0";"0";"xbrli:stringItemType";"string";"xbrli:stringItemType";"Abstract";"0";;;;;;;;;;;;"Duration";"None";1;0;"";"";"";"";"";"";"";"";""
6;"frc-lr:NaturalPersonInformation";4;"         Information about the natural person";"         Informatie over de natuurlijke persoon";"         Informatie over de natuurlijke persoon";"         Informatie over de natuurlijke persoon";"";"NaturalPersonInformation";"frc-lr";"NaturalPersonInformation";"https://www.sbrbanken.nl/bt11/frc/20161209/dictionary/frc-linkroles#NaturalPersonInformation";"";1;0;0;;"0";"0";"0";"0";"";"";"";"Abstract";"0";;;;;;;;;;;;"Other";"None";1;0;"";"";"";"";"";"";"";"";""
7;"NaturalPersonInformation_venj-bw2-i:ChamberOfCommerceRegistrationNumber";5;"            Registration number at the Chamber of Commerce";"            Registratienummer bij de Kamer van Koophandel";"            Registrierungsnummer bei der Handelskammer";"            Numéro d'enregistrement à la Chambre du commerce";"";"ChamberOfCommerceRegistrationNumber";"venj-bw2-i";"NaturalPersonInformation_ChamberOfCommerceRegistrationNumber";"NaturalPersonInformation_http://www.nltaxonomie.nl/nt11/venj/20161214/dictionary/venj-bw2-data#ChamberOfCommerceRegistrationNumber";"xbrli:item";1;0;0;;"0";"0";"0";"0";"venj-types:chamberOfCommerceRegistrationNumberItemType";"chamberOfCommerceRegistrationNumber";"xbrli:stringItemType";"String";"0";"([1-9][0-9]{7})|([0-9][1-9][0-9]{6})";"";"";"";"8";"";"";"";"";"";"";"Duration";"None";0;0;"";"Het registratienummer bij de kamer van koophandel.";"";"";"";"";"";"";"Article: 380b, IssueDate: 2016-01-01, Name: Burgerlijk wetboek boek 2, Paragraph: d|Chapter: 300, IssueDate: 2016-01-01, Name: Richtlijnen voor de jaarverslaggeving, Paragraph: 104a|Chapter: C1, IssueDate: 2016-01-01, Name: Richtlijnen voor de jaarverslaggeving voor kleine rechtspersonen, Paragraph: 303a"
8;"NaturalPersonInformation_nl-cd:FirstName";5;"            First name";"            Voornamen";"            Voornamen";"            Voornamen";"";"FirstName";"nl-cd";"NaturalPersonInformation_FirstName";"NaturalPersonInformation_http://www.nltaxonomie.nl/nt11/sbr/20160610/dictionary/nl-common-data#FirstName";"xbrli:item";2;0;0;;"0";"0";"0";"0";"nl-types:string1000ItemType";"string1000";"xbrli:stringItemType";"String";"0";"";"";"";"";"";"1";"1000";"";"";"";"";"Duration";"None";0;0;"The collection of names, separated by spaces, which precede the family name stripped of predicates.";"De verzameling namen die, gescheiden door spaties, aan de geslachtsnaam voorafgaat. Indien aanwezig, wordt het predikaat afgesplitst.";"";"";"";"";"";"";"Name: LO3.9, Page: 234, Publisher: Gemeentelijke basisadministratie"
9;"NaturalPersonInformation_nl-cd:Prefix";5;"            Prefix";"            Voorvoegsel geslachtsnaam";"            Voorvoegsel geslachtsnaam";"            Voorvoegsel geslachtsnaam";"";"Prefix";"nl-cd";"NaturalPersonInformation_Prefix";"NaturalPersonInformation_http://www.nltaxonomie.nl/nt11/sbr/20160610/dictionary/nl-common-data#Prefix";"xbrli:item";1;0;0;;"0";"0";"0";"0";"nl-types:string1000ItemType";"string1000";"xbrli:stringItemType";"String";"0";"";"";"";"";"";"1";"1000";"";"";"";"";"Duration";"None";0;0;"That part of the family name which, separated by a space, is located in front of the rest of the family name.";"Dat deel van de geslachtsnaam dat gescheiden door een spatie, vooraf gaat aan de rest van de geslachtsnaam.";"";"";"";"";"";"";"Name: LO3.9, Page: 236, Publisher: Gemeentelijke basisadministratie"
10;"NaturalPersonInformation_nl-cd:FamilyName";5;"            Family name";"            Geslachtsnaam";"            Geslachtsnaam";"            Geslachtsnaam";"";"FamilyName";"nl-cd";"NaturalPersonInformation_FamilyName";"NaturalPersonInformation_http://www.nltaxonomie.nl/nt11/sbr/20160610/dictionary/nl-common-data#FamilyName";"xbrli:item";2;0;0;;"0";"0";"0";"0";"nl-types:string1000ItemType";"string1000";"xbrli:stringItemType";"String";"0";"";"";"";"";"";"1";"1000";"";"";"";"";"Duration";"None";0;0;"The family name stripped of any prefixes and noble titles/predicates.";"De (geslachts)naam waarvan de eventueel aanwezige voorvoegsels en adellijke titel/predikaat zijn afgesplitst.";"";"";"";"";"";"";"Name: LO3.9, Page: 237, Publisher: Gemeentelijke basisadministratie"
