;"Generated by FINAN XBRL Taxonomy Viewer v4.4.3"
;"Taxonomy: BT12(FrcRptKredietPrognosePeriodiekToegelatenInstellingenVolkshuisvesting2017)"

"Sort";"ID";"Level";"Label en";"Label nl";"Label de";"Label fr";"PreferredLabelRole";"ElementName";"NamespaceAlias";"FinanVarName";"Url";"SubstitutionGroup";"UseCount";"IsTuple";"IsTupleKey";"IsInThisTuple";"TupleDepth";"TupleInstanceOrder";"MinTupleInstances";"MaxTupleInstances";"ElementType";"ShortElementType";"BaseType";"DataType (FMT4)";"InputRequired";"Pattern";"Enumeration";"FractionDigits";"TotalDigits";"Length";"MinLength";"MaxLength";"MinInclusive";"MaxInclusive";"MinExclusive";"MaxExclusive";"PeriodType";"Balance";"Abstract";"Nillable";"Documentation en";"Documentation nl";"Documentation de";"Documentation fr";"Ddef.Guidance en";"Ddef.Guidance nl";"Ddef.Guidance de";"Ddef.Guidance fr";"References"
1;"frc-abstr:AnnualReportBanksTitle";1;"Annual report [title]";"Jaarverantwoording [titel]";"Jaarverantwoording [titel]";"Jaarverantwoording [titel]";"";"AnnualReportBanksTitle";"frc-abstr";"AnnualReportBanksTitle";"https://www.sbrbanken.nl/bt12/frc/20171103.b/presentation/frc-abstracts#AnnualReportBanksTitle";"sbr:presentationItem";1;0;0;;"0";"0";"0";"0";"xbrli:stringItemType";"string";"xbrli:stringItemType";"Abstract";"0";;;;;;;;;;;;"Duration";"None";1;0;"";"";"";"";"";"";"";"";""
2;"frc-abstr:DocumentEntityInformationBanksTitle";2;"   Document and entity information [title]";"   Informatie over de rapportage en de rechtspersoon [titel]";"   Informatie over de rapportage en de rechtspersoon [titel]";"   Informatie over de rapportage en de rechtspersoon [titel]";"";"DocumentEntityInformationBanksTitle";"frc-abstr";"DocumentEntityInformationBanksTitle";"https://www.sbrbanken.nl/bt12/frc/20171103.b/presentation/frc-abstracts#DocumentEntityInformationBanksTitle";"sbr:presentationItem";1;0;0;;"0";"0";"0";"0";"xbrli:stringItemType";"string";"xbrli:stringItemType";"Abstract";"0";;;;;;;;;;;;"Duration";"None";1;0;"";"";"";"";"";"";"";"";""
3;"frc-abstr:EntityInformationBanksTitle";3;"      Entity information [title]";"      Informatie over de rechtspersoon [titel]";"      Informatie over de rechtspersoon [titel]";"      Informatie over de rechtspersoon [titel]";"";"EntityInformationBanksTitle";"frc-abstr";"EntityInformationBanksTitle";"https://www.sbrbanken.nl/bt12/frc/20171103.b/presentation/frc-abstracts#EntityInformationBanksTitle";"sbr:presentationItem";1;0;0;;"0";"0";"0";"0";"xbrli:stringItemType";"string";"xbrli:stringItemType";"Abstract";"0";;;;;;;;;;;;"Duration";"None";1;0;"";"";"";"";"";"";"";"";""
4;"frc-lr:EntityInformation";4;"         Enity information";"         Informatie over de rechtspersoon";"         Informatie over de rechtspersoon";"         Informatie over de rechtspersoon";"";"EntityInformation";"frc-lr";"EntityInformation";"https://www.sbrbanken.nl/bt12/frc/20171103.b/dictionary/frc-linkroles#EntityInformation";"";1;0;0;;"0";"0";"0";"0";"";"";"";"Abstract";"0";;;;;;;;;;;;"Other";"None";1;0;"";"";"";"";"";"";"";"";""
5;"EntityInformation_venj-bw2-i:ChamberOfCommerceRegistrationNumber";5;"            Registration number at the Chamber of Commerce";"            Registratienummer bij de Kamer van Koophandel";"            Registrierungsnummer bei der Handelskammer";"            Numéro d'enregistrement à la Chambre du commerce";"";"ChamberOfCommerceRegistrationNumber";"venj-bw2-i";"EntityInformation_ChamberOfCommerceRegistrationNumber";"EntityInformation_http://www.nltaxonomie.nl/nt12/venj/20171004.b/dictionary/venj-bw2-data#ChamberOfCommerceRegistrationNumber";"xbrli:item";1;0;0;;"0";"0";"0";"0";"venj-types:chamberOfCommerceRegistrationNumberItemType";"chamberOfCommerceRegistrationNumber";"xbrli:stringItemType";"String";"0";"([1-9][0-9]{7})|([0-9][1-9][0-9]{6})";"";"";"";"8";"";"";"";"";"";"";"Duration";"None";0;0;"";"Het registratienummer bij de kamer van koophandel.";"";"";"";"";"";"";"Article: 380b, IssueDate: 2017-01-01, Name: Burgerlijk wetboek boek 2, Paragraph: d|Chapter: 300, IssueDate: 2017-01-01, Name: Richtlijnen voor de jaarverslaggeving, Paragraph: 104a|Chapter: C1, IssueDate: 2017-01-01, Name: Richtlijnen voor de jaarverslaggeving voor kleine rechtspersonen, Paragraph: 303a"
6;"EntityInformation_venj-bw2-i:LegalEntityName";5;"            Name of the legal entity";"            Naam van de rechtspersoon";"            Name der Körperschaft";"            Nom de l'entité juridique";"";"LegalEntityName";"venj-bw2-i";"EntityInformation_LegalEntityName";"EntityInformation_http://www.nltaxonomie.nl/nt12/venj/20171004.b/dictionary/venj-bw2-data#LegalEntityName";"xbrli:item";3;0;0;;"0";"0";"0";"0";"nl-types:string100000ItemType";"string100000";"xbrli:stringItemType";"String";"0";"";"";"";"";"";"1";"100000";"";"";"";"";"Duration";"None";0;0;"";"De statutaire naam van de rechtspersoon.";"";"";"";"";"";"";"Article: 380b, IssueDate: 2017-01-01, Name: Burgerlijk wetboek boek 2, Paragraph: a|Chapter: 110, IssueDate: 2017-01-01, Name: Richtlijnen voor de jaarverslaggeving, Paragraph: 103, Subparagraph: a|Chapter: 300, IssueDate: 2017-01-01, Name: Richtlijnen voor de jaarverslaggeving, Paragraph: 104a|Chapter: 640, IssueDate: 2017-01-01, Name: Richtlijnen voor de jaarverslaggeving, Paragraph: 401a|Chapter: A1, IssueDate: 2017-01-01, Name: Richtlijnen voor de jaarverslaggeving voor kleine rechtspersonen, Paragraph: 306|Chapter: B18, IssueDate: 2017-01-01, Name: Richtlijnen voor de jaarverslaggeving voor kleine rechtspersonen, Paragraph: 104, Subparagraph: a|Chapter: C1, IssueDate: 2017-01-01, Name: Richtlijnen voor de jaarverslaggeving voor kleine rechtspersonen, Paragraph: 303a"
7;"EntityInformation_frc-i:LegalEntityLegalFormBanks";5;"            Legal form of the legal entity";"            Rechtsvorm van de rechtspersoon";"            Rechtsvorm van de rechtspersoon";"            Rechtsvorm van de rechtspersoon";"";"LegalEntityLegalFormBanks";"frc-i";"EntityInformation_LegalEntityLegalFormBanks";"EntityInformation_https://www.sbrbanken.nl/bt12/frc/20171103.b/dictionary/frc-data#LegalEntityLegalFormBanks";"xbrli:item";1;0;0;;"0";"0";"0";"0";"nl-codes:legalItemType";"legal";"xbrli:stringItemType";"Enumeration";"0";"";"Besloten vennootschap|Buitenlandse NNP als functionaris|Buitenlandse rechtsvorm|Commanditaire vennootschap met rechtspersoonlijkheid|Commanditaire vennootschap|Cooperatie|Eenmanszaak met meerdere eigenaren|Eenmanszaak|Europees Economisch Samenwerkingsverband|Europese cooperatieve vennootschap (SCE)|Europese naamloze vennootschap (SE)|Formeel buitenlandse vennootschap|Kapitaal vennootschap binnen EER|Kerkgenootschap|Maatschap|Naamloze vennootschap|Niet formeel buitenlandse vennootschap|Onderlinge waarborg maatschappij|Openbare vennootschap met rechtspersoonlijkheid|Openbare vennootschap|Overige buitenlandse rechtsvorm|Overige rechtsvorm|Publiekrechtelijke rechtspersoon|Rechtspersoon in oprichting|Rederij|Stichting|Vennootschap onder firma|Vereniging van eigenaars|Vereniging";"";"";"";"";"";"";"";"";"";"Duration";"None";0;0;"";"De rechtsvorm van de onderneming. Bijvoorbeeld B.V. of VOF.";"";"";"";"De rechtsvorm van de onderneming. Bijvoorbeeld B.V. of VOF.";"";"";""
8;"EntityInformation_kvk-i:LegalSizeCriteriaClassification";5;"            Classification of the legal entity based on the legal size criteria";"            Classificatie van de rechtspersoon op basis van de wettelijke groottecriteria";"            Klassifizierung der juristischen Person auf Grundlage der gesetzlichen Größenkriterien";"            Classification de l'entreprise dotée de la personne juridique sur base du critère de taille légal";"";"LegalSizeCriteriaClassification";"kvk-i";"EntityInformation_LegalSizeCriteriaClassification";"EntityInformation_http://www.nltaxonomie.nl/nt12/kvk/20171004.b/dictionary/kvk-data#LegalSizeCriteriaClassification";"xbrli:item";1;0;0;;"0";"0";"0";"0";"kvk-codes:legalSizeCriteriaItemType";"legalSizeCriteria";"xbrli:stringItemType";"Enumeration";"0";"";"Groot|Klein|Micro|Middelgroot";"";"";"";"";"";"";"";"";"";"Duration";"None";0;0;"";"De classificatie van de rechtspersoon op basis van de wettelijke groottecriteria.";"";"";"";"";"";"";"Article: 396, IssueDate: 2015-01-01, Name: Burgerlijk wetboek boek 2, Paragraph: 1|Article: 397, IssueDate: 2015-01-01, Name: Burgerlijk wetboek boek 2, Paragraph: 1"
9;"EntityInformation_rj-i:BusinessNames";5;"            Business names";"            Handelsnamen";"            Handelsnamen";"            Appellations commerciales";"";"BusinessNames";"rj-i";"EntityInformation_BusinessNames";"EntityInformation_http://www.nltaxonomie.nl/nt12/rj/20171004.b/dictionary/rj-data#BusinessNames";"xbrli:item";1;0;0;;"0";"0";"0";"0";"nl-types:string100000ItemType";"string100000";"xbrli:stringItemType";"String";"0";"";"";"";"";"";"1";"100000";"";"";"";"";"Duration";"None";0;0;"";"De vermelding van de verschillende handelsnamen waaronder de rechtspersoon opereert.";"";"";"";"";"";"";"Chapter: 110, IssueDate: 2017-01-01, Name: Richtlijnen voor de jaarverslaggeving, Paragraph: 103, Subparagraph: a"
10;"EntityInformation_venj-bw2-i:LegalEntityRegisteredOffice";5;"            Registered office of the legal entity";"            Zetel van de rechtspersoon";"            Geschäftssitz der Körperschaft";"            Siège social de l'entité juridique";"";"LegalEntityRegisteredOffice";"venj-bw2-i";"EntityInformation_LegalEntityRegisteredOffice";"EntityInformation_http://www.nltaxonomie.nl/nt12/venj/20171004.b/dictionary/venj-bw2-data#LegalEntityRegisteredOffice";"xbrli:item";1;0;0;;"0";"0";"0";"0";"nl-types:string100000ItemType";"string100000";"xbrli:stringItemType";"String";"0";"";"";"";"";"";"1";"100000";"";"";"";"";"Duration";"None";0;0;"";"De statutaire vestigingsplaats van de rechtspersoon.";"";"";"";"";"";"";"Article: 380b, IssueDate: 2017-01-01, Name: Burgerlijk wetboek boek 2, Paragraph: c|Chapter: 300, IssueDate: 2017-01-01, Name: Richtlijnen voor de jaarverslaggeving, Paragraph: 104a|Chapter: 300, IssueDate: 2017-01-01, Name: Richtlijnen voor de jaarverslaggeving, Paragraph: 105, Subparagraph: a|Chapter: 640, IssueDate: 2017-01-01, Name: Richtlijnen voor de jaarverslaggeving, Paragraph: 401a|Chapter: B18, IssueDate: 2017-01-01, Name: Richtlijnen voor de jaarverslaggeving voor kleine rechtspersonen, Paragraph: 104, Subparagraph: a|Chapter: C1, IssueDate: 2017-01-01, Name: Richtlijnen voor de jaarverslaggeving voor kleine rechtspersonen, Paragraph: 303a"
