;"Generated by FINAN XBRL Taxonomy Viewer v4.4.1"
;"Taxonomy: BT20151(BankRptKredietKlFiscNp2014)"

"Sort";"ID";"Level";"Label nl";"Label en";"PreferredLabelRole";"ElementName";"NamespaceAlias";"FinanVarName";"Url";"SubstitutionGroup";"UseCount";"IsTuple";"IsTupleKey";"IsInThisTuple";"TupleDepth";"TupleInstanceOrder";"MinTupleInstances";"MaxTupleInstances";"ElementType";"ShortElementType";"BaseType";"DataType (FMT4)";"InputRequired";"Pattern";"Enumeration";"FractionDigits";"TotalDigits";"Length";"MinLength";"MaxLength";"MinInclusive";"MaxInclusive";"MinExclusive";"MaxExclusive";"PeriodType";"Balance";"Abstract";"Nillable";"Documentation nl";"Documentation en";"Ddef.Guidance nl";"Ddef.Guidance en";"References"
1;"bank-abstracts:ReportTitle";1;"Rapportage";"Report";"";"ReportTitle";"bank-abstracts";"ReportTitle";"https://www.sbrbanken.nl/BT2015.1/report/bank/abstracts/bank-abstracts#ReportTitle";"xbrli:item";1;0;0;;"0";"0";"0";"0";"xbrli:stringItemType";"string";"xbrli:stringItemType";"Abstract";"0";;;;;;;;;;;;"Duration";"None";1;0;"";"";"";"";""
2;"bank-abstracts:CreditreportNaturalPersonTitle";2;"   Kredietrapportage natuurlijke persoon";"   Creditreport natural person";"";"CreditreportNaturalPersonTitle";"bank-abstracts";"CreditreportNaturalPersonTitle";"https://www.sbrbanken.nl/BT2015.1/report/bank/abstracts/bank-abstracts#CreditreportNaturalPersonTitle";"xbrli:item";1;0;0;;"0";"0";"0";"0";"xbrli:stringItemType";"string";"xbrli:stringItemType";"Abstract";"0";;;;;;;;;;;;"Duration";"None";1;0;"";"";"";"";""
3;"bank-abstracts:BankCommonDataTitle";1;"Algemene gegevens";"Bank common data title";"";"BankCommonDataTitle";"bank-abstracts";"BankCommonDataTitle";"https://www.sbrbanken.nl/BT2015.1/report/bank/abstracts/bank-abstracts#BankCommonDataTitle";"xbrli:item";1;0;0;;"0";"0";"0";"0";"xbrli:stringItemType";"string";"xbrli:stringItemType";"Abstract";"0";;;;;;;;;;;;"Duration";"None";1;0;"";"";"";"";""
4;"kvk-abstr:DocumentInformationTitle";2;"   Informatie over de rapportage";"   Document information";"urn:bank:preflabel:label";"DocumentInformationTitle";"kvk-abstr";"DocumentInformationTitle";"http://www.nltaxonomie.nl/9.0/report/kvk/abstracts/kvk-abstracts#DocumentInformationTitle";"sbr:presentationItem";1;0;0;;"0";"0";"0";"0";"xbrli:stringItemType";"string";"xbrli:stringItemType";"Abstract";"0";;;;;;;;;;;;"Duration";"None";1;0;"";"";"";"";""
5;"bank-cd:ReasonDelivery";3;"      Reden levering";"      Reason delivery";"";"ReasonDelivery";"bank-cd";"ReasonDelivery";"https://www.sbrbanken.nl/BT2015.1/basis/bank/items/bank-common-data#ReasonDelivery";"xbrli:item";1;0;0;;"0";"0";"0";"0";"bank-codes:ReasonDeliveryItemType";"ReasonDelivery";"xbrli:stringItemType";"Enumeration";"0";"";"Bijzonder Beheer|Juridische omzetting|Kredietwijziging|Nieuwe Aanvraag|Revisie|Overig";"";"";"";"";"";"";"";"";"";"Duration";"None";0;0;"De reden waarom de kredietrapportage wordt aangeleverd.";"";"De reden waarom de kredietrapportage wordt aangeleverd.";"";""
6;"bank-cd:FinancialStatementType";3;"      Type jaarrekening";"      Financial statement type";"";"FinancialStatementType";"bank-cd";"FinancialStatementType";"https://www.sbrbanken.nl/BT2015.1/basis/bank/items/bank-common-data#FinancialStatementType";"xbrli:item";1;0;0;;"0";"0";"0";"0";"bank-codes:FinancialStatementItemType";"FinancialStatement";"xbrli:stringItemType";"Enumeration";"0";"";"Geconsolideerd|Partieel geconsolideerd|Enkelvoudig";"";"";"";"";"";"";"";"";"";"Duration";"None";0;0;"Specificatie van het type Jaarrekening: Vennootschappelijk, Geconsolideerd of Partieel geconsolideerd.";"";"Specificatie van het type Jaarrekening: Vennootschappelijk, Geconsolideerd of Partieel geconsolideerd.";"";""
7;"venj-bw2-i:BalanceSheetBeforeAfterAppropriationResults";3;"      Balans voor of na resultaatbestemming";"      Balance sheet before or after appropriation of results";"";"BalanceSheetBeforeAfterAppropriationResults";"venj-bw2-i";"BalanceSheetBeforeAfterAppropriationResults";"http://www.nltaxonomie.nl/9.0/basis/venj/items/venj-bw2-data#BalanceSheetBeforeAfterAppropriationResults";"xbrli:item";1;0;0;;"0";"0";"0";"0";"nl-codes:profitAppropriationItemType";"profitAppropriation";"xbrli:stringItemType";"Enumeration";"0";"";"Na|Voor";"";"";"";"";"";"";"";"";"";"Duration";"None";0;0;"";"";"De vermelding of de balans is opgesteld voor of na resultaatbestemming. Hier kan 'Na' of 'Voor' worden ingevuld.";"";"Article: 11, Name: Besluit Modellen Jaarrekening|Article: 362, Name: Burgerlijk Wetboek Boek 2, Paragraph: 2|Chapter: 420, Name: Richtlijnen voor de Jaarverslaggeving, Paragraph: 101|Chapter: A8, Name: Richtlijnen voor de Jaarverslaggeving voor kleine rechtspersonen, Paragraph: 103"
8;"bank-cd:ExclusiveVAT";3;"      Cijfers exclusief BTW J/N";"      Exclusive VAT";"";"ExclusiveVAT";"bank-cd";"ExclusiveVAT";"https://www.sbrbanken.nl/BT2015.1/basis/bank/items/bank-common-data#ExclusiveVAT";"xbrli:item";1;0;0;;"0";"0";"0";"0";"xbrli:booleanItemType";"boolean";"xbrli:booleanItemType";"Boolean";"0";;;;;;;;;;;;"Duration";"None";0;0;"Ondernemingen die niet BTW-plichtig zijn, kunnen geen BTW terugvorderen. Derhalve zijn bijvoorbeeld activa op de balans inclusief BTW. De waarde true (Ja) wordt gebruikt voor de meest gebruikelijke invulling, te weten exclusief BTW.";"";"Ondernemingen die niet BTW-plichtig zijn, kunnen geen BTW terugvorderen. Derhalve zijn bijvoorbeeld activa op de balans inclusief BTW. De waarde true (Ja) wordt gebruikt voor de meest gebruikelijke invulling, te weten exclusief BTW.";"";""
9;"nl-cd:StartDateForFinancialPeriod";3;"      Begindatum rapportageperiode";"      Start date for financial period";"";"StartDateForFinancialPeriod";"nl-cd";"StartDateForFinancialPeriod";"http://www.nltaxonomie.nl/9.0/basis/sbr/items/nl-common-data#StartDateForFinancialPeriod";"xbrli:item";1;0;0;;"0";"0";"0";"0";"xbrli:dateItemType";"date";"xbrli:dateItemType";"Date";"0";;;;;;;;;;;;"Duration";"None";0;0;"De startdatum van de financiële periode waarover wordt gerapporteerd volgens ISO 8601 in het formaat: jjjj-mm-dd.";"The date of the start of the financial period being reported, according to ISO 8601 with the format: yyyy-mm-dd.";"De begindatum van de rapportageperiode";"";"Article: 362, Name: Burgerlijk Wetboek Boek 2, Paragraph: 3"
10;"nl-cd:EndDateForFinancialPeriod";3;"      Einddatum rapportageperiode";"      End date for financial period";"";"EndDateForFinancialPeriod";"nl-cd";"EndDateForFinancialPeriod";"http://www.nltaxonomie.nl/9.0/basis/sbr/items/nl-common-data#EndDateForFinancialPeriod";"xbrli:item";1;0;0;;"0";"0";"0";"0";"xbrli:dateItemType";"date";"xbrli:dateItemType";"Date";"0";;;;;;;;;;;;"Duration";"None";0;0;"De einddatum van de financiële periode waarover wordt gerapporteerd volgens ISO 8601 in het formaat: jjjj-mm-dd.";"The date of the end of the financial period being reported, according to ISO 8601 with the format: yyyy-mm-dd.";"De einddatum van de rapportageperiode";"";"Article: 362, Name: Burgerlijk Wetboek Boek 2, Paragraph: 2|Article: 362, Name: Burgerlijk Wetboek Boek 2, Paragraph: 3"
11;"rj-i:FinancialPeriodDifferentThanAnnualStatus";3;"      Rapportageperiode afwijkend van een jaar J/N";"      Reporting period different than annual";"urn:bank:preflabel:label";"FinancialPeriodDifferentThanAnnualStatus";"rj-i";"FinancialPeriodDifferentThanAnnualStatus";"http://www.nltaxonomie.nl/9.0/basis/rj/items/rj-data#FinancialPeriodDifferentThanAnnualStatus";"xbrli:item";1;0;0;;"0";"0";"0";"0";"xbrli:booleanItemType";"boolean";"xbrli:booleanItemType";"Boolean";"0";;;;;;;;;;;;"Duration";"None";0;0;"";"";"Geeft aan of de rapportageperiode geen (kalender)jaar is. Indien afwijkend dan ""J"" van Ja invullen.";"";"Chapter: 110, Name: Richtlijnen voor de Jaarverslaggeving, Paragraph: 104|Chapter: A1, Name: Richtlijnen voor de Jaarverslaggeving voor kleine rechtspersonen, Paragraph: 305"
12;"rj-i:FinancialPeriodDifferentThanAnnualReason";4;"         Rapportageperiode afwijkend van een jaar, reden van afwijking";"         Reporting period different than annual, reason for difference";"";"FinancialPeriodDifferentThanAnnualReason";"rj-i";"FinancialPeriodDifferentThanAnnualReason";"http://www.nltaxonomie.nl/9.0/basis/rj/items/rj-data#FinancialPeriodDifferentThanAnnualReason";"xbrli:item";1;0;0;;"0";"0";"0";"0";"xbrli:stringItemType";"string";"xbrli:stringItemType";"String";"0";;;;;;;;;;;;"Duration";"None";0;0;"";"";"De reden waarom de rapportageperiode afwijkt van een (kalender)jaar.";"";"Chapter: 110, Name: Richtlijnen voor de Jaarverslaggeving, Paragraph: 104|Chapter: A1, Name: Richtlijnen voor de Jaarverslaggeving voor kleine rechtspersonen, Paragraph: 305"
13;"rj-i:FinancialPeriodDifferentThanAnnualImpactComparatives";4;"         Rapportageperiode afwijkend van een jaar, effect op vergelijkende cijfers";"         Reporting period different than annual, impact on comparatives";"";"FinancialPeriodDifferentThanAnnualImpactComparatives";"rj-i";"FinancialPeriodDifferentThanAnnualImpactComparatives";"http://www.nltaxonomie.nl/9.0/basis/rj/items/rj-data#FinancialPeriodDifferentThanAnnualImpactComparatives";"xbrli:item";1;0;0;;"0";"0";"0";"0";"xbrli:stringItemType";"string";"xbrli:stringItemType";"String";"0";;;;;;;;;;;;"Duration";"None";0;0;"";"";"Het effect op de vergelijkende cijfers (van voorgaande periode). Doordat de rappartageperiode afwijkt moet een toelichting worden gegeven.";"";"Chapter: 110, Name: Richtlijnen voor de Jaarverslaggeving, Paragraph: 104|Chapter: A1, Name: Richtlijnen voor de Jaarverslaggeving voor kleine rechtspersonen, Paragraph: 305"
14;"nl-cd:DocumentCreationDate";3;"      Datum van opmaak van het document";"      Document creation date";"";"DocumentCreationDate";"nl-cd";"DocumentCreationDate";"http://www.nltaxonomie.nl/9.0/basis/sbr/items/nl-common-data#DocumentCreationDate";"xbrli:item";1;0;0;;"0";"0";"0";"0";"xbrli:dateItemType";"date";"xbrli:dateItemType";"Date";"0";;;;;;;;;;;;"Duration";"None";0;0;"De datum van opmaak van het document volgens ISO 8601 in het formaat: jjjj-mm-dd";"The date of document formatting, according to ISO 8601 with the format: yyyy-mm-dd.";"De datum waarop de rapportage is gemaakt.";"";"Chapter: 160, Name: Richtlijnen voor de Jaarverslaggeving, Paragraph: 401|Chapter: B4, Name: Richtlijnen voor de Jaarverslaggeving voor kleine rechtspersonen, Paragraph: 110"
15;"venj-bw2-i:DocumentAdoptionStatus";3;"      Jaarrekening vastgesteld J/N";"      Financial statements adopted Y/N";"urn:bank:preflabel:label";"DocumentAdoptionStatus";"venj-bw2-i";"DocumentAdoptionStatus";"http://www.nltaxonomie.nl/9.0/basis/venj/items/venj-bw2-data#DocumentAdoptionStatus";"xbrli:item";1;0;0;;"0";"0";"0";"0";"xbrli:booleanItemType";"boolean";"xbrli:booleanItemType";"Boolean";"0";;;;;;;;;;;;"Duration";"None";0;0;"";"";"De constatering of een jaarrekening is vastgesteld.";"";"Article: 394, Name: Burgerlijk Wetboek Boek 2, Paragraph: 1|Chapter: A6, Name: Richtlijnen voor de Jaarverslaggeving voor kleine rechtspersonen, Paragraph: 103"
16;"venj-bw2-i:DocumentAdoptionDate";4;"         Datum van vaststelling van de jaarrekening";"         Date of adoption of the financial statements";"";"DocumentAdoptionDate";"venj-bw2-i";"DocumentAdoptionDate";"http://www.nltaxonomie.nl/9.0/basis/venj/items/venj-bw2-data#DocumentAdoptionDate";"xbrli:item";1;0;0;;"0";"0";"0";"0";"xbrli:dateItemType";"date";"xbrli:dateItemType";"Date";"0";;;;;;;;;;;;"Duration";"None";0;0;"";"";"De datum waarop de jaarrekening is vastgesteld.";"";"Article: 394, Name: Burgerlijk Wetboek Boek 2, Paragraph: 1|Chapter: A6, Name: Richtlijnen voor de Jaarverslaggeving voor kleine rechtspersonen, Paragraph: 103"
17;"kvk-abstr:EntityInformationTitle";2;"   Informatie met betrekking tot de onderneming";"   Entity information";"urn:bank:preflabel:label";"EntityInformationTitle";"kvk-abstr";"EntityInformationTitle";"http://www.nltaxonomie.nl/9.0/report/kvk/abstracts/kvk-abstracts#EntityInformationTitle";"sbr:presentationItem";1;0;0;;"0";"0";"0";"0";"xbrli:stringItemType";"string";"xbrli:stringItemType";"Abstract";"0";;;;;;;;;;;;"Duration";"None";1;0;"";"";"";"";""
18;"bank-cd:RegistrationChamberOfCommerce";3;"      Inschrijfnummer KvK";"      Registration chamber of commerce";"";"RegistrationChamberOfCommerce";"bank-cd";"RegistrationChamberOfCommerce";"https://www.sbrbanken.nl/BT2015.1/basis/bank/items/bank-common-data#RegistrationChamberOfCommerce";"xbrli:item";2;0;0;;"0";"0";"0";"0";"xbrli:stringItemType";"string";"xbrli:stringItemType";"String";"0";;;;;;;;;;;;"Duration";"None";0;0;"Het KvK-inschrijfnummer van de onderneming.";"";"Het KvK-inschrijfnummer van de onderneming.";"";""
19;"nl-cd:NameBusiness";3;"      Handelsnaam van de onderneming";"      Trade name of the company";"";"NameBusiness";"nl-cd";"NameBusiness";"http://www.nltaxonomie.nl/9.0/basis/sbr/items/nl-common-data#NameBusiness";"xbrli:item";1;0;0;;"0";"0";"0";"0";"xbrli:stringItemType";"string";"xbrli:stringItemType";"String";"0";;;;;;;;;;;;"Duration";"None";0;0;"De naam waaronder de onderneming wordt gedreven.";"The name under which a company is run.";"De handelsnaam van de onderneming.";"";"Article: 1, Name: Handelsnaamwet|Chapter: 110, Name: Richtlijnen voor de Jaarverslaggeving, Paragraph: 103, Subparagraph: a"
