;"Generated by FINAN XBRL Taxonomy Viewer v4.4.1"
;"Taxonomy: BT20151(BankRptKredietPpMggComm)"

"Sort";"ID";"Level";"Label nl";"Label en";"PreferredLabelRole";"ElementName";"NamespaceAlias";"FinanVarName";"Url";"SubstitutionGroup";"UseCount";"IsTuple";"IsTupleKey";"IsInThisTuple";"TupleDepth";"TupleInstanceOrder";"MinTupleInstances";"MaxTupleInstances";"ElementType";"ShortElementType";"BaseType";"DataType (FMT4)";"InputRequired";"Pattern";"Enumeration";"FractionDigits";"TotalDigits";"Length";"MinLength";"MaxLength";"MinInclusive";"MaxInclusive";"MinExclusive";"MaxExclusive";"PeriodType";"Balance";"Abstract";"Nillable";"Documentation nl";"Documentation en";"Ddef.Guidance nl";"Ddef.Guidance en";"References"
1;"bank-abstracts:ReportTitle";1;"Rapportage";"Report";"";"ReportTitle";"bank-abstracts";"ReportTitle";"https://www.sbrbanken.nl/BT2015.1/report/bank/abstracts/bank-abstracts#ReportTitle";"xbrli:item";1;0;0;;"0";"0";"0";"0";"xbrli:stringItemType";"string";"xbrli:stringItemType";"Abstract";"0";;;;;;;;;;;;"Duration";"None";1;0;"";"";"";"";""
2;"bank-abstracts:CreditreportMediumLargeBusinessCommercialBaseTitle";2;"   Kredietrapportage (middel)grote organisatie, commerciële grondslag";"   Creditreport (medium)large business, commercial base";"";"CreditreportMediumLargeBusinessCommercialBaseTitle";"bank-abstracts";"CreditreportMediumLargeBusinessCommercialBaseTitle";"https://www.sbrbanken.nl/BT2015.1/report/bank/abstracts/bank-abstracts#CreditreportMediumLargeBusinessCommercialBaseTitle";"xbrli:item";1;0;0;;"0";"0";"0";"0";"xbrli:stringItemType";"string";"xbrli:stringItemType";"Abstract";"0";;;;;;;;;;;;"Duration";"None";1;0;"";"";"";"";""
3;"bank-abstracts:BankCommonDataTitle";1;"Algemene gegevens";"Bank common data title";"";"BankCommonDataTitle";"bank-abstracts";"BankCommonDataTitle";"https://www.sbrbanken.nl/BT2015.1/report/bank/abstracts/bank-abstracts#BankCommonDataTitle";"xbrli:item";1;0;0;;"0";"0";"0";"0";"xbrli:stringItemType";"string";"xbrli:stringItemType";"Abstract";"0";;;;;;;;;;;;"Duration";"None";1;0;"";"";"";"";""
4;"kvk-abstr:DocumentInformationTitle";2;"   Informatie over de rapportage";"   Document information";"urn:bank:preflabel:label";"DocumentInformationTitle";"kvk-abstr";"DocumentInformationTitle";"http://www.nltaxonomie.nl/9.0/report/kvk/abstracts/kvk-abstracts#DocumentInformationTitle";"sbr:presentationItem";1;0;0;;"0";"0";"0";"0";"xbrli:stringItemType";"string";"xbrli:stringItemType";"Abstract";"0";;;;;;;;;;;;"Duration";"None";1;0;"";"";"";"";""
5;"bank-cd:PeriodicallyForecastReportIndicator";3;"      Periodieke rapportage J/N";"      Periodically report Y/N";"http://www.xbrl.org/2003/role/terseLabel";"PeriodicallyForecastReportIndicator";"bank-cd";"PeriodicallyForecastReportIndicator";"https://www.sbrbanken.nl/BT2015.1/basis/bank/items/bank-common-data#PeriodicallyForecastReportIndicator";"xbrli:item";1;0;0;;"0";"0";"0";"0";"xbrli:booleanItemType";"boolean";"xbrli:booleanItemType";"Boolean";"0";;;;;;;;;;;;"Duration";"None";0;0;"De indicatie of het een periodieke rapportage betreft over een kortere periode dan een jaar met gerealiseerde feiten (indicator = Ja) of een prognose rapportage (indicator = Nee).";"";"De indicatie of het een periodieke rapportage betreft over een kortere periode dan een jaar met gerealiseerde feiten (indicator = Ja) of een prognose rapportage (indicator = Nee).";"";""
6;"bank-cd:ReasonDelivery";3;"      Reden levering";"      Reason delivery";"";"ReasonDelivery";"bank-cd";"ReasonDelivery";"https://www.sbrbanken.nl/BT2015.1/basis/bank/items/bank-common-data#ReasonDelivery";"xbrli:item";1;0;0;;"0";"0";"0";"0";"bank-codes:ReasonDeliveryItemType";"ReasonDelivery";"xbrli:stringItemType";"Enumeration";"0";"";"Bijzonder Beheer|Juridische omzetting|Kredietwijziging|Nieuwe Aanvraag|Revisie|Overig";"";"";"";"";"";"";"";"";"";"Duration";"None";0;0;"De reden waarom de kredietrapportage wordt aangeleverd.";"";"De reden waarom de kredietrapportage wordt aangeleverd.";"";""
7;"bank-cd:FinancialStatementType";3;"      Type jaarrekening";"      Financial statement type";"";"FinancialStatementType";"bank-cd";"FinancialStatementType";"https://www.sbrbanken.nl/BT2015.1/basis/bank/items/bank-common-data#FinancialStatementType";"xbrli:item";1;0;0;;"0";"0";"0";"0";"bank-codes:FinancialStatementItemType";"FinancialStatement";"xbrli:stringItemType";"Enumeration";"0";"";"Geconsolideerd|Partieel geconsolideerd|Enkelvoudig";"";"";"";"";"";"";"";"";"";"Duration";"None";0;0;"Specificatie van het type Jaarrekening: Vennootschappelijk, Geconsolideerd of Partieel geconsolideerd.";"";"Specificatie van het type Jaarrekening: Vennootschappelijk, Geconsolideerd of Partieel geconsolideerd.";"";""
8;"bank-cd:ExclusiveVAT";3;"      Cijfers exclusief BTW J/N";"      Exclusive VAT";"";"ExclusiveVAT";"bank-cd";"ExclusiveVAT";"https://www.sbrbanken.nl/BT2015.1/basis/bank/items/bank-common-data#ExclusiveVAT";"xbrli:item";1;0;0;;"0";"0";"0";"0";"xbrli:booleanItemType";"boolean";"xbrli:booleanItemType";"Boolean";"0";;;;;;;;;;;;"Duration";"None";0;0;"Ondernemingen die niet BTW-plichtig zijn, kunnen geen BTW terugvorderen. Derhalve zijn bijvoorbeeld activa op de balans inclusief BTW. De waarde true (Ja) wordt gebruikt voor de meest gebruikelijke invulling, te weten exclusief BTW.";"";"Ondernemingen die niet BTW-plichtig zijn, kunnen geen BTW terugvorderen. Derhalve zijn bijvoorbeeld activa op de balans inclusief BTW. De waarde true (Ja) wordt gebruikt voor de meest gebruikelijke invulling, te weten exclusief BTW.";"";""
9;"nl-cd:StartDateForFinancialPeriod";3;"      Begindatum rapportageperiode";"      Start date for financial period";"";"StartDateForFinancialPeriod";"nl-cd";"StartDateForFinancialPeriod";"http://www.nltaxonomie.nl/9.0/basis/sbr/items/nl-common-data#StartDateForFinancialPeriod";"xbrli:item";1;0;0;;"0";"0";"0";"0";"xbrli:dateItemType";"date";"xbrli:dateItemType";"Date";"0";;;;;;;;;;;;"Duration";"None";0;0;"De startdatum van de financiële periode waarover wordt gerapporteerd volgens ISO 8601 in het formaat: jjjj-mm-dd.";"The date of the start of the financial period being reported, according to ISO 8601 with the format: yyyy-mm-dd.";"De begindatum van de rapportageperiode";"";"Article: 362, Name: Burgerlijk Wetboek Boek 2, Paragraph: 3"
10;"nl-cd:EndDateForFinancialPeriod";3;"      Einddatum rapportageperiode";"      End date for financial period";"";"EndDateForFinancialPeriod";"nl-cd";"EndDateForFinancialPeriod";"http://www.nltaxonomie.nl/9.0/basis/sbr/items/nl-common-data#EndDateForFinancialPeriod";"xbrli:item";1;0;0;;"0";"0";"0";"0";"xbrli:dateItemType";"date";"xbrli:dateItemType";"Date";"0";;;;;;;;;;;;"Duration";"None";0;0;"De einddatum van de financiële periode waarover wordt gerapporteerd volgens ISO 8601 in het formaat: jjjj-mm-dd.";"The date of the end of the financial period being reported, according to ISO 8601 with the format: yyyy-mm-dd.";"De einddatum van de rapportageperiode";"";"Article: 362, Name: Burgerlijk Wetboek Boek 2, Paragraph: 2|Article: 362, Name: Burgerlijk Wetboek Boek 2, Paragraph: 3"
