;"Generated by FINAN XBRL Taxonomy Viewer v4.4.1"
;"Taxonomy: BT2016(BankRptKredietEkkFunctioneel2015)"

"Sort";"ID";"Level";"Label nl";"Label en";"PreferredLabelRole";"ElementName";"NamespaceAlias";"FinanVarName";"Url";"SubstitutionGroup";"UseCount";"IsTuple";"IsTupleKey";"IsInThisTuple";"TupleDepth";"TupleInstanceOrder";"MinTupleInstances";"MaxTupleInstances";"ElementType";"ShortElementType";"BaseType";"DataType (FMT4)";"InputRequired";"Pattern";"Enumeration";"FractionDigits";"TotalDigits";"Length";"MinLength";"MaxLength";"MinInclusive";"MaxInclusive";"MinExclusive";"MaxExclusive";"PeriodType";"Balance";"Abstract";"Nillable";"Documentation nl";"Documentation en";"Ddef.Guidance nl";"Ddef.Guidance en";"References"
1;"bank-abstracts:ReportTitle";1;"Rapportage";"Report";"";"ReportTitle";"bank-abstracts";"ReportTitle";"https://www.sbrbanken.nl/BT2016/report/bank/abstracts/bank-abstracts#ReportTitle";"xbrli:item";1;0;0;;"0";"0";"0";"0";"xbrli:stringItemType";"string";"xbrli:stringItemType";"Abstract";"0";;;;;;;;;;;;"Duration";"None";1;0;"";"";"";"";""
2;"bank-abstracts:CreditreportSoleProprietorshipSmallCreditFunctionalTitle";2;"   Kredietrapportage eenmanszaak klein krediet, functioneel";"   Creditreport sole proprietorship, small credit, functional";"";"CreditreportSoleProprietorshipSmallCreditFunctionalTitle";"bank-abstracts";"CreditreportSoleProprietorshipSmallCreditFunctionalTitle";"https://www.sbrbanken.nl/BT2016/report/bank/abstracts/bank-abstracts#CreditreportSoleProprietorshipSmallCreditFunctionalTitle";"xbrli:item";1;0;0;;"0";"0";"0";"0";"xbrli:stringItemType";"string";"xbrli:stringItemType";"Abstract";"0";;;;;;;;;;;;"Duration";"None";1;0;"";"";"";"";""
3;"bank-abstracts:BankCommonDataTitle";1;"Algemene gegevens";"Bank common data title";"";"BankCommonDataTitle";"bank-abstracts";"BankCommonDataTitle";"https://www.sbrbanken.nl/BT2016/report/bank/abstracts/bank-abstracts#BankCommonDataTitle";"xbrli:item";1;0;0;;"0";"0";"0";"0";"xbrli:stringItemType";"string";"xbrli:stringItemType";"Abstract";"0";;;;;;;;;;;;"Duration";"None";1;0;"";"";"";"";""
4;"kvk-abstr:DocumentInformationTitle";2;"   Informatie over de rapportage";"   Document information";"urn:bank:preflabel:label";"DocumentInformationTitle";"kvk-abstr";"DocumentInformationTitle";"http://www.nltaxonomie.nl/10.0/report/kvk/abstracts/kvk-abstracts#DocumentInformationTitle";"sbr:presentationItem";1;0;0;;"0";"0";"0";"0";"xbrli:stringItemType";"string";"xbrli:stringItemType";"Abstract";"0";;;;;;;;;;;;"Duration";"None";1;0;"";"";"";"";""
5;"bank-cd:ReasonDelivery";3;"      Reden levering";"      Reason delivery";"";"ReasonDelivery";"bank-cd";"ReasonDelivery";"https://www.sbrbanken.nl/BT2016/basis/bank/items/bank-common-data#ReasonDelivery";"xbrli:item";1;0;0;;"0";"0";"0";"0";"bank-codes:ReasonDeliveryItemType";"ReasonDelivery";"xbrli:stringItemType";"Enumeration";"0";"";"Bijzonder Beheer|Juridische omzetting|Kredietwijziging|Nieuwe Aanvraag|Revisie|Overig";"";"";"";"";"";"";"";"";"";"Duration";"None";0;0;"De reden waarom de kredietrapportage wordt aangeleverd.";"";"De reden waarom de kredietrapportage wordt aangeleverd.";"";""
6;"nl-cd:StartDateForFinancialPeriod";3;"      Begindatum rapportageperiode";"      Start date for financial period";"";"StartDateForFinancialPeriod";"nl-cd";"StartDateForFinancialPeriod";"http://www.nltaxonomie.nl/10.0/basis/sbr/items/nl-common-data#StartDateForFinancialPeriod";"xbrli:item";1;0;0;;"0";"0";"0";"0";"xbrli:dateItemType";"date";"xbrli:dateItemType";"Date";"0";;;;;;;;;;;;"Duration";"None";0;0;"De startdatum van de financiële periode waarover wordt gerapporteerd volgens ISO 8601 in het formaat: jjjj-mm-dd.";"The date of the start of the financial period being reported, according to ISO 8601 with the format: yyyy-mm-dd.";"De begindatum van de rapportageperiode";"";""
7;"nl-cd:EndDateForFinancialPeriod";3;"      Einddatum rapportageperiode";"      End date for financial period";"";"EndDateForFinancialPeriod";"nl-cd";"EndDateForFinancialPeriod";"http://www.nltaxonomie.nl/10.0/basis/sbr/items/nl-common-data#EndDateForFinancialPeriod";"xbrli:item";1;0;0;;"0";"0";"0";"0";"xbrli:dateItemType";"date";"xbrli:dateItemType";"Date";"0";;;;;;;;;;;;"Duration";"None";0;0;"De einddatum van de financiële periode waarover wordt gerapporteerd volgens ISO 8601 in het formaat: jjjj-mm-dd.";"The date of the end of the financial period being reported, according to ISO 8601 with the format: yyyy-mm-dd.";"De einddatum van de rapportageperiode";"";""
8;"bank-ihz-tuples:PartyFilingTaxReturnTitle";2;"   Belastingplichtige";"   Party filing tax return title";"";"PartyFilingTaxReturnTitle";"bank-ihz-tuples";"PartyFilingTaxReturnTitle";"https://www.sbrbanken.nl/BT2016/domein/bank/tuples/bank-ihz-tuples#PartyFilingTaxReturnTitle";"xbrli:tuple";1;1;0;;"0";"0";"0";"-1";"";"";"";"Abstract";"0";;;;;;;;;;;;"Other";"None";0;0;"";"";"";"";""
9;"bd-alg:Initials";3;"      Voorletters";"      Initials";"";"Initials";"bd-alg";"Initials";"http://www.nltaxonomie.nl/10.0/basis/bd/items/bd-algemeen#Initials";"xbrli:item";1;0;0;"bank-ihz-tuples:PartyFilingTaxReturnTitle";"1";"0";"0";"0";"bd-types:anstring10VItemType";"anstring10V";"xbrli:tokenItemType";"String";"1";"";"";"";"";"";"1";"10";"";"";"";"";"Duration";"None";0;0;"";"";"De voorletters van een natuurlijk persoon.";"";"Name: belastingdienst taxonomie definities.pdf, Paragraph: 9, Chapter: mda definities"
10;"bd-alg:Prefix";3;"      Tussenvoegsel";"      Prefix";"";"Prefix";"bd-alg";"Prefix";"http://www.nltaxonomie.nl/10.0/basis/bd/items/bd-algemeen#Prefix";"xbrli:item";1;0;0;"bank-ihz-tuples:PartyFilingTaxReturnTitle";"1";"1";"0";"0";"bd-types:anstring10VItemType";"anstring10V";"xbrli:tokenItemType";"String";"0";"";"";"";"";"";"1";"10";"";"";"";"";"Duration";"None";0;0;"";"";"Met tussenvoegsel wordt het eerste deel van de achternaam bedoeld (Bijvoorbeeld ""De"" in ""De Vries"").";"";"Name: belastingdienst taxonomie definities.pdf, Paragraph: 10, Chapter: mda definities"
