;"Generated by FINAN XBRL Taxonomy Viewer v4.4.1"
;"Taxonomy: BT20163(BankRptKredietMicroFunctioneel2015)"

"Sort";"ID";"Level";"Label en";"Label nl";"PreferredLabelRole";"ElementName";"NamespaceAlias";"FinanVarName";"Url";"SubstitutionGroup";"UseCount";"IsTuple";"IsTupleKey";"IsInThisTuple";"TupleDepth";"TupleInstanceOrder";"MinTupleInstances";"MaxTupleInstances";"ElementType";"ShortElementType";"BaseType";"DataType (FMT4)";"InputRequired";"Pattern";"Enumeration";"FractionDigits";"TotalDigits";"Length";"MinLength";"MaxLength";"MinInclusive";"MaxInclusive";"MinExclusive";"MaxExclusive";"PeriodType";"Balance";"Abstract";"Nillable";"Documentation en";"Documentation nl";"Ddef.Guidance en";"Ddef.Guidance nl";"References"
1;"bank-abstracts:ReportTitle";1;"Report";"Rapportage";"";"ReportTitle";"bank-abstracts";"ReportTitle";"https://www.sbrbanken.nl/BT2016/report/bank/abstracts/bank-abstracts#ReportTitle";"xbrli:item";1;0;0;;"0";"0";"0";"0";"xbrli:stringItemType";"string";"xbrli:stringItemType";"Abstract";"0";;;;;;;;;;;;"Duration";"None";1;0;"";"";"";"";""
2;"bank-abstracts:CreditreportSoleProprietorshipSmallCreditFunctionalTitle";2;"   Creditreport sole proprietorship, small credit, functional";"   Kredietrapportage eenmanszaak klein krediet, functioneel";"";"CreditreportSoleProprietorshipSmallCreditFunctionalTitle";"bank-abstracts";"CreditreportSoleProprietorshipSmallCreditFunctionalTitle";"https://www.sbrbanken.nl/BT2016/report/bank/abstracts/bank-abstracts#CreditreportSoleProprietorshipSmallCreditFunctionalTitle";"xbrli:item";1;0;0;;"0";"0";"0";"0";"xbrli:stringItemType";"string";"xbrli:stringItemType";"Abstract";"0";;;;;;;;;;;;"Duration";"None";1;0;"";"";"";"";""
3;"bank-abstracts:BankCommonDataTitle";1;"Bank common data title";"Algemene gegevens";"";"BankCommonDataTitle";"bank-abstracts";"BankCommonDataTitle";"https://www.sbrbanken.nl/BT2016/report/bank/abstracts/bank-abstracts#BankCommonDataTitle";"xbrli:item";1;0;0;;"0";"0";"0";"0";"xbrli:stringItemType";"string";"xbrli:stringItemType";"Abstract";"0";;;;;;;;;;;;"Duration";"None";1;0;"";"";"";"";""
4;"kvk-abstr:DocumentInformationTitle";2;"   Document information";"   Informatie over de rapportage";"urn:bank:preflabel:label";"DocumentInformationTitle";"kvk-abstr";"DocumentInformationTitle";"http://www.nltaxonomie.nl/10.0/report/kvk/abstracts/kvk-abstracts#DocumentInformationTitle";"sbr:presentationItem";1;0;0;;"0";"0";"0";"0";"xbrli:stringItemType";"string";"xbrli:stringItemType";"Abstract";"0";;;;;;;;;;;;"Duration";"None";1;0;"";"";"";"";""
5;"bank-cd:ReasonDelivery";3;"      Reason delivery";"      Reden levering";"";"ReasonDelivery";"bank-cd";"ReasonDelivery";"https://www.sbrbanken.nl/BT2016/basis/bank/items/bank-common-data#ReasonDelivery";"xbrli:item";1;0;0;;"0";"0";"0";"0";"bank-codes:ReasonDeliveryItemType";"ReasonDelivery";"xbrli:stringItemType";"Enumeration";"0";"";"Bijzonder Beheer|Juridische omzetting|Kredietwijziging|Nieuwe Aanvraag|Revisie|Overig";"";"";"";"";"";"";"";"";"";"Duration";"None";0;0;"";"De reden waarom de kredietrapportage wordt aangeleverd.";"";"De reden waarom de kredietrapportage wordt aangeleverd.";""
6;"bank-cd:ExclusiveVAT";3;"      Exclusive VAT";"      Cijfers exclusief BTW J/N";"";"ExclusiveVAT";"bank-cd";"ExclusiveVAT";"https://www.sbrbanken.nl/BT2016/basis/bank/items/bank-common-data#ExclusiveVAT";"xbrli:item";1;0;0;;"0";"0";"0";"0";"xbrli:booleanItemType";"boolean";"xbrli:booleanItemType";"Boolean";"0";;;;;;;;;;;;"Duration";"None";0;0;"";"Ondernemingen die niet BTW-plichtig zijn, kunnen geen BTW terugvorderen. Derhalve zijn bijvoorbeeld activa op de balans inclusief BTW. De waarde true (Ja) wordt gebruikt voor de meest gebruikelijke invulling, te weten exclusief BTW.";"";"Ondernemingen die niet BTW-plichtig zijn, kunnen geen BTW terugvorderen. Derhalve zijn bijvoorbeeld activa op de balans inclusief BTW. De waarde true (Ja) wordt gebruikt voor de meest gebruikelijke invulling, te weten exclusief BTW.";""
7;"nl-cd:StartDateForFinancialPeriod";3;"      Start date for financial period";"      Begindatum rapportageperiode";"";"StartDateForFinancialPeriod";"nl-cd";"StartDateForFinancialPeriod";"http://www.nltaxonomie.nl/10.0/basis/sbr/items/nl-common-data#StartDateForFinancialPeriod";"xbrli:item";1;0;0;;"0";"0";"0";"0";"xbrli:dateItemType";"date";"xbrli:dateItemType";"Date";"0";;;;;;;;;;;;"Duration";"None";0;0;"The date of the start of the financial period being reported, according to ISO 8601 with the format: yyyy-mm-dd.";"De startdatum van de financiële periode waarover wordt gerapporteerd volgens ISO 8601 in het formaat: jjjj-mm-dd.";"";"De begindatum van de rapportageperiode";""
8;"nl-cd:EndDateForFinancialPeriod";3;"      End date for financial period";"      Einddatum rapportageperiode";"";"EndDateForFinancialPeriod";"nl-cd";"EndDateForFinancialPeriod";"http://www.nltaxonomie.nl/10.0/basis/sbr/items/nl-common-data#EndDateForFinancialPeriod";"xbrli:item";1;0;0;;"0";"0";"0";"0";"xbrli:dateItemType";"date";"xbrli:dateItemType";"Date";"0";;;;;;;;;;;;"Duration";"None";0;0;"The date of the end of the financial period being reported, according to ISO 8601 with the format: yyyy-mm-dd.";"De einddatum van de financiële periode waarover wordt gerapporteerd volgens ISO 8601 in het formaat: jjjj-mm-dd.";"";"De einddatum van de rapportageperiode";""
9;"rj-i:FinancialReportingPeriodDifferentThanAnnualStatus";3;"      Reporting period different than annual";"      Rapportageperiode afwijkend van een jaar J/N";"urn:bank:preflabel:label";"FinancialReportingPeriodDifferentThanAnnualStatus";"rj-i";"FinancialReportingPeriodDifferentThanAnnualStatus";"http://www.nltaxonomie.nl/10.0/basis/rj/items/rj-data#FinancialReportingPeriodDifferentThanAnnualStatus";"xbrli:item";1;0;0;;"0";"0";"0";"0";"xbrli:booleanItemType";"boolean";"xbrli:booleanItemType";"Boolean";"0";;;;;;;;;;;;"Duration";"None";0;0;"";"";"";"Geeft aan of de rapportageperiode geen (kalender)jaar is. Indien afwijkend dan ""J"" van Ja invullen.";"Chapter: 110, IssueDate: 2015-01-01, Name: Richtlijnen voor de jaarverslaggeving, Paragraph: 104|Chapter: A1, IssueDate: 2015-01-01, Name: Richtlijnen voor de jaarverslaggeving voor kleine rechtspersonen, Paragraph: 305"
10;"rj-i:FinancialReportingPeriodDifferentThanAnnualReason";4;"         Reporting period different than annual, reason for difference";"         Rapportageperiode afwijkend van een jaar, reden van afwijking";"";"FinancialReportingPeriodDifferentThanAnnualReason";"rj-i";"FinancialReportingPeriodDifferentThanAnnualReason";"http://www.nltaxonomie.nl/10.0/basis/rj/items/rj-data#FinancialReportingPeriodDifferentThanAnnualReason";"xbrli:item";1;0;0;;"0";"0";"0";"0";"xbrli:stringItemType";"string";"xbrli:stringItemType";"String";"0";;;;;;;;;;;;"Duration";"None";0;0;"";"";"";"De reden waarom de rapportageperiode afwijkt van een (kalender)jaar.";"Chapter: 110, IssueDate: 2015-01-01, Name: Richtlijnen voor de jaarverslaggeving, Paragraph: 104|Chapter: A1, IssueDate: 2015-01-01, Name: Richtlijnen voor de jaarverslaggeving voor kleine rechtspersonen, Paragraph: 305"
11;"rj-i:FinancialReportingPeriodDifferentThanAnnualImpactComparatives";4;"         Reporting period different than annual, impact on comparatives";"         Rapportageperiode afwijkend van een jaar, effect op vergelijkende cijfers";"";"FinancialReportingPeriodDifferentThanAnnualImpactComparatives";"rj-i";"FinancialReportingPeriodDifferentThanAnnualImpactComparatives";"http://www.nltaxonomie.nl/10.0/basis/rj/items/rj-data#FinancialReportingPeriodDifferentThanAnnualImpactComparatives";"xbrli:item";1;0;0;;"0";"0";"0";"0";"xbrli:stringItemType";"string";"xbrli:stringItemType";"String";"0";;;;;;;;;;;;"Duration";"None";0;0;"";"";"";"Het effect op de vergelijkende cijfers (van voorgaande periode). Doordat de rappartageperiode afwijkt moet een toelichting worden gegeven.";"Chapter: 110, IssueDate: 2015-01-01, Name: Richtlijnen voor de jaarverslaggeving, Paragraph: 104|Chapter: A1, IssueDate: 2015-01-01, Name: Richtlijnen voor de jaarverslaggeving voor kleine rechtspersonen, Paragraph: 305"
12;"venj-bw2-i:DocumentAdoptionStatus";3;"      Financial statements adopted Y/N";"      Jaarrekening vastgesteld J/N";"urn:bank:preflabel:label";"DocumentAdoptionStatus";"venj-bw2-i";"DocumentAdoptionStatus";"http://www.nltaxonomie.nl/10.0/basis/venj/items/venj-bw2-data#DocumentAdoptionStatus";"xbrli:item";1;0;0;;"0";"0";"0";"0";"xbrli:booleanItemType";"boolean";"xbrli:booleanItemType";"Boolean";"0";;;;;;;;;;;;"Duration";"None";0;0;"";"";"";"De constatering of een jaarrekening is vastgesteld.";"Article: 394, IssueDate: 2015-01-01, Name: Burgerlijk wetboek boek 2, Paragraph: 1|Article: 395, IssueDate: 2015-01-01, Name: Burgerlijk wetboek boek 2|Chapter: A6, IssueDate: 2015-01-01, Name: Richtlijnen voor de jaarverslaggeving voor kleine rechtspersonen, Paragraph: 103"
13;"bank-ihz-tuples:PartyFilingTaxReturnTitle";2;"   Party filing tax return title";"   Belastingplichtige";"";"PartyFilingTaxReturnTitle";"bank-ihz-tuples";"PartyFilingTaxReturnTitle";"https://www.sbrbanken.nl/BT2016/domein/bank/tuples/bank-ihz-tuples#PartyFilingTaxReturnTitle";"xbrli:tuple";1;1;0;;"0";"0";"0";"-1";"";"";"";"Abstract";"0";;;;;;;;;;;;"Other";"None";0;0;"";"";"";"";""
14;"bd-alg:Initials";3;"      Initials";"      Voorletters";"";"Initials";"bd-alg";"Initials";"http://www.nltaxonomie.nl/10.0/basis/bd/items/bd-algemeen#Initials";"xbrli:item";1;0;0;"bank-ihz-tuples:PartyFilingTaxReturnTitle";"1";"0";"0";"0";"bd-types:anstring10VItemType";"anstring10V";"xbrli:tokenItemType";"String";"1";"";"";"";"";"";"1";"10";"";"";"";"";"Duration";"None";0;0;"";"";"";"De voorletters van een natuurlijk persoon.";"Name: belastingdienst taxonomie definities.pdf, Paragraph: 9, Chapter: mda definities"
15;"bd-alg:Prefix";3;"      Prefix";"      Tussenvoegsel";"";"Prefix";"bd-alg";"Prefix";"http://www.nltaxonomie.nl/10.0/basis/bd/items/bd-algemeen#Prefix";"xbrli:item";1;0;0;"bank-ihz-tuples:PartyFilingTaxReturnTitle";"1";"1";"0";"0";"bd-types:anstring10VItemType";"anstring10V";"xbrli:tokenItemType";"String";"0";"";"";"";"";"";"1";"10";"";"";"";"";"Duration";"None";0;0;"";"";"";"Met tussenvoegsel wordt het eerste deel van de achternaam bedoeld (Bijvoorbeeld ""De"" in ""De Vries"").";"Name: belastingdienst taxonomie definities.pdf, Paragraph: 10, Chapter: mda definities"
16;"bd-alg:Surname";3;"      Surname";"      Achternaam";"";"Surname";"bd-alg";"Surname";"http://www.nltaxonomie.nl/10.0/basis/bd/items/bd-algemeen#Surname";"xbrli:item";1;0;0;"bank-ihz-tuples:PartyFilingTaxReturnTitle";"1";"2";"0";"0";"bd-types:anstring200VItemType";"anstring200V";"xbrli:tokenItemType";"String";"1";"";"";"";"";"";"1";"200";"";"";"";"";"Duration";"None";0;0;"";"";"";"De familienaam van een natuurlijk persoon.";"Name: belastingdienst taxonomie definities.pdf, Paragraph: 11, Chapter: mda definities"
17;"nl-cd:DateOfBirth";3;"      Date of birth";"      Geboortedatum";"";"DateOfBirth";"nl-cd";"DateOfBirth";"http://www.nltaxonomie.nl/10.0/basis/sbr/items/nl-common-data#DateOfBirth";"xbrli:item";1;0;0;"bank-ihz-tuples:PartyFilingTaxReturnTitle";"1";"3";"0";"0";"xbrli:dateItemType";"date";"xbrli:dateItemType";"Date";"1";;;;;;;;;;;;"Duration";"None";0;0;"The date on which a person is born.";"De datum waarop de persoon is geboren.";"";"De datum waarop de persoon, waarover de rapportage gaat, is geboren.";"Name: LO3.9, Page: 238, Publisher: Gemeentelijke basisadministratie"
18;"bd-abstr:EnterpriseGeneralInformationTitle";2;"   Enterprise general information";"   Algemene gegevens onderneming";"urn:bank:preflabel:label";"EnterpriseGeneralInformationTitle";"bd-abstr";"EnterpriseGeneralInformationTitle";"http://www.nltaxonomie.nl/10.0/report/bd/abstracts/bd-abstracts#EnterpriseGeneralInformationTitle";"sbr:presentationItem";1;0;0;;"0";"0";"0";"0";"xbrli:stringItemType";"string";"xbrli:stringItemType";"Abstract";"0";;;;;;;;;;;;"Duration";"None";1;0;"";"";"";"";""
19;"venj-bw2-i:ChamberOfCommerceRegistrationNumber";3;"      Registration number at the Chamber of Commerce";"      Registratienummer bij de Kamer van Koophandel";"";"ChamberOfCommerceRegistrationNumber";"venj-bw2-i";"ChamberOfCommerceRegistrationNumber";"http://www.nltaxonomie.nl/10.0/basis/venj/items/venj-bw2-data#ChamberOfCommerceRegistrationNumber";"xbrli:item";1;0;0;;"0";"0";"0";"0";"venj-types:chamberOfCommerceRegistrationNumberItemType";"chamberOfCommerceRegistrationNumber";"xbrli:stringItemType";"String";"0";"([1-9][0-9]{7})|([0-9][1-9][0-9]{6})";"";"";"";"8";"";"";"";"";"";"";"Duration";"None";0;0;"";"";"";"Het KvK-registratienummer van de onderneming.";"Article: 380a, IssueDate: 2016-01-01, Name: Burgerlijk wetboek boek 2"
