"Generated by FINAN v3.2.57.16 on 04-10-2017 17:00"
"Model V04 v4.3.33"

"VarName";"OrgVarName";"Level";"Description";"D/C";"FinanDataType";"DataType";"Prot Title";"Prot NoTrend";"Prot Trend";"SaveCalculated";"Freq";"DisplayAs";"CalcYearAs";"Visible Formula";"Locked Formula";"InputRequired Formula";"Scalable";"Currency";"Formula (Title)";"Formula (NoTrend)";"Formula (Trend)";"Choices";"Hint"
"ROOT";ROOT;0;"Developer model";;Number;Abstract;Locked;Locked;Locked;No;Detail;Default;Ultimo;"1";"0";"0";Yes;Yes;"Developer model";"";"";;""
"ROOTSub1";ROOTSub1;1;"   ";;Number;Abstract;Hidden;Hidden;Hidden;No;None;Default;None;"0";"0";"0";Yes;Yes;"";"";"";;""
"LastModifyDate";LastModifyDate;2;"      Laatste wijziging";;Number;Date;Locked;UnLocked;UnLocked;No;Single;Date;None;"1";"0";"0";No;No;"Laatste wijziging";"";"";;""
"LastModifyUser";LastModifyUser;2;"      Laatste wijziging door";;String;String;Locked;UnLocked;UnLocked;No;Single;Default;None;"1";"0";"0";No;No;"Laatste wijziging door";"";"";;""
"DummyVar";DummyVar;2;"      Dummy";;Number;Monetary;Locked;UnLocked;UnLocked;No;Detail;Default;Ultimo;"1";"0";"0";Yes;Yes;"Dummy";"";"";;""
"ProjectfinancieringAanw";ProjectfinancieringAanw;2;"      Projectfinanciering aanwezig";;Number;Number;Locked;Locked;Locked;No;Single;Default;None;"1";"0";"0";No;No;"Projectfinanciering aanwezig";"";"";;""
"FES_LAYOUTNR";FES_LAYOUTNR;2;"      Layout";;Number;Enumeration;Locked;Locked;Locked;No;Single;Choice;None;"1";"0";"0";No;No;"Layout";"";"";"0|1|2|3|4|5";""
"FES_EXCHANGE_RATES";FES_EXCHANGE_RATES;2;"      Exchange Rates";;String;String;Locked;UnLocked;UnLocked;No;Detail;Default;Ultimo;"1";"0";"0";No;No;"Exchange Rates";"";"";;""
"FES_LAYOUT";FES_LAYOUT;2;"      Layout name";;String;String;Locked;UnLocked;UnLocked;No;Single;Default;None;"1";"0";"0";No;No;"Layout name";"";"";;""
"FES_FLATINPUT";FES_FLATINPUT;2;"      Is flat input used? (1=yes)";;Number;Number;Locked;UnLocked;UnLocked;No;Single;Default;None;"1";"0";"0";No;No;"Is flat input used? (1=yes)";"";"";;""
"FES_PROJECTION_PROFILE";FES_PROJECTION_PROFILE;2;"      Projection Profile";;Number;Enumeration;Locked;UnLocked;UnLocked;No;Single;Choice;None;"1";"0";"0";No;No;"Projection Profile";"";"";"0|1|2|3|4|5";""
"FES_COLUMN_ORDER";FES_COLUMN_ORDER;2;"      Column order";;Number;Number;Locked;UnLocked;UnLocked;No;Single;Default;None;"1";"0";"0";No;No;"Column order";"";"";;""
"FES_COLUMN_VISIBLE";FES_COLUMN_VISIBLE;2;"      Column visible";;Number;Number;Locked;UnLocked;UnLocked;No;Detail;Default;Ultimo;"1";"0";"0";No;No;"Column visible";"";"";;""
"FES_STARTDATEPERIOD";FES_STARTDATEPERIOD;2;"      Start Date Period";;Number;Number;Locked;UnLocked;UnLocked;No;Detail;Default;Ultimo;"1";"0";"0";No;No;"Start Date Period";"";"";;""
"FES_ENDDATEPERIOD";FES_ENDDATEPERIOD;2;"      End Date Period";;Number;Number;Locked;UnLocked;UnLocked;No;Detail;Default;Ultimo;"1";"0";"0";No;No;"End Date Period";"";"";;""
"FES_BASECURRENCYPERIOD";FES_BASECURRENCYPERIOD;2;"      Base Currency Period";;Number;Number;Locked;UnLocked;UnLocked;No;Detail;Default;Ultimo;"1";"0";"0";No;No;"Base Currency Period";"";"";;""
