"Generated by FINAN v3.2.57.16 on 04-10-2017 17:00"
"Model X04 v4.0"

"VarName";"OrgVarName";"Level";"Description";"D/C";"FinanDataType";"DataType";"Prot Title";"Prot NoTrend";"Prot Trend";"SaveCalculated";"Freq";"DisplayAs";"CalcYearAs";"Visible Formula";"Locked Formula";"InputRequired Formula";"Scalable";"Currency";"Formula (Title)";"Formula (NoTrend)";"Formula (Trend)";"Choices";"Hint"
"Root";Root;0;"Invoer model branche";;NoData;Abstract;Locked;Hidden;Hidden;No;None;Default;None;"1";"0";"0";No;No;"Invoer model branche";"";"";;""
"Title";SectorCode;1;"   Branche";;String;String;Locked;UnLocked;UnLocked;No;Single;Default;None;"1";"0";"0";No;No;"Branche";"";"";;""
"SectorCode";SectorCode;2;"      Branchecode";;String;String;Locked;UnLocked;UnLocked;No;Single;Default;None;"1";"0";"0";No;No;"Branchecode";"";"";;""
"SectorTitle";SectorTitle;2;"      branche";;String;String;Locked;UnLocked;UnLocked;No;Single;Default;None;"1";"0";"0";No;No;"branche";"";"";;""
"XVooruitz";XVooruitz;2;"      Vooruitzicht";;String;String;Locked;UnLocked;UnLocked;No;Single;Default;None;"1";"0";"0";No;No;"Vooruitzicht";"";"";;""
"NormenBron";NormenBron;1;"   Bronvermelding";;String;String;Locked;UnLocked;UnLocked;No;Single;Default;None;"1";"0";"0";No;No;"Bronvermelding";"";"";;""
"XAantalWaarn";XAantalWaarn;2;"      Aantal waarnemingen";;Number;Number;Locked;Hidden;Hidden;No;Detail;Default;Mean;"1";"0";"0";No;No;"Aantal waarnemingen";"";"";;""
"XDakOpv";XDakOpv;1;"   Oppervlakte huisvesting (m2)";;Number;Abstract;Locked;Hidden;Hidden;No;Detail;Default;Mean;"1";"0";"0";No;No;"Oppervlakte huisvesting (m2)";"";"";;""
"XVerkOpv";XVerkOpv;2;"      Verkoopruimte";;Number;Number;Locked;Hidden;Hidden;No;Detail;Default;Mean;"1";"0";"0";No;No;"Verkoopruimte";"";"";;""
"XMagOpv";XMagOpv;2;"      Magazijnruimte";;Number;Number;Locked;Hidden;Hidden;No;Detail;Default;Mean;"1";"0";"0";No;No;"Magazijnruimte";"";"";;""
"XProdOpv";XProdOpv;2;"      Productieruimte";;Number;Number;Locked;Hidden;Hidden;No;Detail;Default;Mean;"1";"0";"0";No;No;"Productieruimte";"";"";;""
"XKantoorOpv";XKantoorOpv;2;"      Kantoorruimte";;Number;Number;Locked;Hidden;Hidden;No;Detail;Default;Mean;"1";"0";"0";No;No;"Kantoorruimte";"";"";;""
"XOvOpv";XOvOpv;2;"      Overige ruimte";;Number;Number;UnLocked;Hidden;Hidden;No;Detail;Default;Mean;"1";"0";"0";No;No;"Overige ruimte";"";"";;""
"XDakOpvSub6";XDakOpv;2;"      Totale overdekte ruimte";;Number;Number;Locked;Hidden;Hidden;No;Detail;Default;Mean;"1";"0";"0";No;No;"Totale overdekte ruimte";"";"";;""
"XTotKracht";XTotKracht;1;"   Aantal medewerkers";;Number;Abstract;Locked;Hidden;Hidden;No;Detail;Default;Mean;"1";"0";"0";No;No;"Aantal medewerkers";"";"";;""
"XDirKracht";XDirKracht;2;"      Aantal directieleden";;Number;Number;Locked;Hidden;Hidden;No;Detail;Default;Mean;"1";"0";"0";No;No;"Aantal directieleden";"";"";;""
"XPersKracht";XPersKracht;2;"      Aantal personeelsleden";;Number;Number;Locked;Hidden;Hidden;No;Detail;Default;Mean;"1";"0";"0";No;No;"Aantal personeelsleden";"";"";;""
"XBetKracht";XBetKracht;2;"      Aantal betaalde krachten";;Number;Number;Locked;Hidden;Hidden;No;Detail;Default;Mean;"1";"0";"0";No;No;"Aantal betaalde krachten";"";"";;""
