; AA1-V03.tbl

AANLOOPK-1            OVRESCORR2-1 -1
AANLOOPK-2            OVRESCORR2-2 -1
OVRESCORR-1           OVRESCORR2-1
OVRESCORR-2           OVRESCORR2-2
AFSDUBDEB-1           OVOVK6-1
AFSDUBDEB-2           OVOVK6-2
AFSDUBDEB-3           OVOVK6-3
AKT1HERW-1            AKT1TAX-1
AKT1HERW-2            AKT1TAX-2
AKT1HERW-3            AKT1TAX-3
AKT2HERW-1            AKT2TAX-1
AKT2HERW-2            AKT2TAX-2
AKT2HERW-3            AKT2TAX-3
Akt3HERW-1            Akt3TAX-1
Akt3HERW-2            Akt3TAX-2
Akt3HERW-3            Akt3TAX-3
Akt4HERW-1            Akt4TAX-1
Akt4HERW-2            Akt4TAX-2
Akt4HERW-3            Akt4TAX-3
Akt5HERW-1            Akt5TAX-1
Akt5HERW-2            Akt5TAX-2
Akt5HERW-3            Akt5TAX-3
Akt6HERW-1            Akt6TAX-1
Akt6HERW-2            Akt6TAX-2
Akt6HERW-3            Akt6TAX-3
Akt7HERW-1            Akt7TAX-1
Akt7HERW-2            Akt7TAX-2
Akt7HERW-3            Akt7TAX-3
Akt8HERW-1            Akt8TAX-1
Akt8HERW-2            Akt8TAX-2
Akt8HERW-3            Akt8TAX-3
Akt9HERW-1            AktPTAX-1
Akt9HERW-2            AktPTAX-2
Akt9HERW-3            AktPTAX-3
AktAHERW-1            AktNTAX-1
AktAHERW-2            AktNTAX-2
AktAHERW-3            AktNTAX-3
AktBHERW-1            AktMTAX-1
AktBHERW-2            AktMTAX-2
AktBHERW-3            AktMTAX-3
AktCHERW-1            AktCTAX-1
AktCHERW-2            AktCTAX-2
AktCHERW-3            AktCTAX-3
AktDHERW-1            AktDTAX-1
AktDHERW-2            AktDTAX-2
AktDHERW-3            AktDTAX-3
AktDHERW-1            AktDTAX-1
AktDHERW-2            AktDTAX-2
AktDHERW-3            AktDTAX-3
AktEHerw-1            OvFinVATax-1
AktEHerw-2            OvFinVATax-2
AktEHerw-3            OvFinVATax-3
FinVastAktHerw-1      OvFinVATax-1
FinVastAktHerw-2      OvFinVATax-2
FinVastAktHerw-3      OvFinVATax-3
AKT9-0                AKTP-0
AKT9-1                AKTP-1
AKT9-3                AKTP-3
AKT9AFS-0             AKTPAFS-0
AKT9AFS-1             AKTPAFS-1
AKT9AFS-2             AKTPAFS-2
AKT9AFS-3             AKTPAFS-3
AKT9INV-1             AKTPINV-1
AKT9INV-2             AKTPINV-2
AKTA-0                AKTN-0
AKTA-1                AKTN-1
AKTA-3                AKTN-3
AKTAAFS-0             AKTNAFS-0
AKTAAFS-1             AKTNAFS-1
AKTAAFS-2             AKTNAFS-2
AKTAAFS-3             AKTNAFS-3
AKTAINV-1             AKTNINV-1
AKTAINV-2             AKTNINV-2
AKTB-0                AKTM-0
AKTB-1                AKTM-1
AKTB-3                AKTM-3
AKTBAFS-0             AKTMAFS-0
AKTBAFS-1             AKTMAFS-1
AKTBAFS-2             AKTMAFS-2
AKTBAFS-3             AKTMAFS-3
AKTBINV-1             AKTMINV-1
AKTBINV-2             AKTMINV-2
AKTE-0                OVFINVA-0
AKTE-1                OVFINVA-1
AKTE-3                OVFINVA-3
AKTEAFS-1             OVBUITLASTEN-1
AKTEAFS-2             OVBUITLASTEN-2
AKTEAFS-3             OVBUITLASTEN-3
BRANCHEAANV-1         SECTOREXTRAINFO-1
BRANCHEAANV-2         SECTOREXTRAINFO-2
BRANCHEAANV-3         SECTOREXTRAINFO-3
BUITBEL-0             OVBUITLASTEN-0
BUITBEL-1             OVBUITLASTEN-1
BUITBEL-2             OVBUITLASTEN-2
BUITBEL-3             OVBUITLASTEN-3
CHEQVORD-0            OVOVERLAKT-0
CHEQVORD-1            OVOVERLAKT-1
CHEQVORD-2            OVOVERLAKT-2
CHEQVORD-3            OVOVERLAKT-3
DIVBUITLASTEN-0       OVBUITLASTEN-0
DIVBUITLASTEN-1       OVBUITLASTEN-1
DIVBUITLASTEN-2       OVBUITLASTEN-2
DIVBUITLASTEN-3       OVBUITLASTEN-3
EIGENKANTOOROPV-1     KANTOOROPV-1
EIGENKANTOOROPV-2     KANTOOROPV-2
EIGENKANTOOROPV-3     KANTOOROPV-3
EIGENMAGOPV-1         MAGOPV-1
EIGENMAGOPV-2         MAGOPV-2
EIGENMAGOPV-3         MAGOPV-3
EIGENOVOPV-0          OVOPV-0
EIGENOVOPV-1          OVOPV-1
EIGENOVOPV-2          OVOPV-2
EIGENOVOPV-3          OVOPV-3
EIGENPRODOPV-1        PRODOPV-1
EIGENPRODOPV-2        PRODOPV-2
EIGENPRODOPV-3        PRODOPV-3
EIGENTERREINOPV-0     TERREINOPV-0
EIGENTERREINOPV-1     TERREINOPV-1
EIGENTERREINOPV-2     TERREINOPV-2
EIGENTERREINOPV-3     TERREINOPV-3
EIGENVERKOPV-1        VERKOPV-1
