;E:\FINAN\24\models\v03\AS2-V03.tbl+

;Mapping AS2-V04	(JaB 06-08-2009, alfabetisch)

AANLOOPK-1            OVRESCORR2-1
AANLOOPK-2            OVRESCORR2-2
AflCapCorr-1             SNS_AflCapCorr-1  
AflCapCorr-2             SNS_AflCapCorr-2  
AflCapCorr-3             SNS_AflCapCorr-3  
;AFLKJKRED6-1             AFLKJKRED5-1
;AFLKJKRED6-2             AFLKJKRED5-2
;AFLKJKRED7-1             AFLKJKRED5-1
;AFLKJKRED7-2             AFLKJKRED5-2
;AFLKRED6-1               AFLKRED5-1
;AFLKRED6-2               AFLKRED5-2
;AFLKRED7-1               AFLKRED5-1
;AFLKRED7-2               AFLKRED5-2

AFSDUBDEB-1           OVOVK6-1
AFSDUBDEB-2           OVOVK6-2
AFSDUBDEB-3           OVOVK6-3
                  
                  
                  
AKT1HERW-1            AKT1TAX-1
AKT1HERW-2            AKT1TAX-2
AKT1HERW-3            AKT1TAX-3
AKT2HERW-1            AKT2TAX-1
AKT2HERW-2            AKT2TAX-2
AKT2HERW-3            AKT2TAX-3
AKT3HERW-1            AKT3TAX-1
AKT3HERW-2            AKT3TAX-2
AKT3HERW-3            AKT3TAX-3
AKT4HERW-1            AKT4TAX-1
AKT4HERW-2            AKT4TAX-2
AKT4HERW-3            AKT4TAX-3
AKT5HERW-1            AKT5TAX-1
AKT5HERW-2            AKT5TAX-2
AKT5HERW-3            AKT5TAX-3
AKT6HERW-1            AKT6TAX-1
AKT6HERW-2            AKT6TAX-2
AKT6HERW-3            AKT6TAX-3
AKT7HERW-1            AKT7TAX-1
AKT7HERW-2            AKT7TAX-2
AKT7HERW-3            AKT7TAX-3
AKT8HERW-1            AKT8TAX-1
AKT8HERW-2            AKT8TAX-2
AKT8HERW-3            AKT8TAX-3
AKT9-0                   AKTM-0            
AKT9-1                   AKTM-1            
AKT9-3                   AKTM-3            
AKT9AFS-0                AKTMAFS-0         
AKT9AFS-1                AKTMAFS-1         
AKT9AFS-2                AKTMAFS-2         
AKT9AFS-3                AKTMAFS-3         
Akt9HERW-1               AktMTAX-1         
Akt9HERW-2               AktMTAX-2         
Akt9HERW-3               AktMTAX-3         
AKT9INV-2                AKTMINV-2         
AKT9TAX-0                AKTMTAX-0         
AKT9TAX-1                AKTMTAX-1         
AKT9TAX-2                AKTMTAX-2         
AKT9TAX-3                AKTMTAX-3         
AKTA-0                   AKTP-0            
AKTA-1                   AKTP-1            
AKTA-3                   AKTP-3            
AKTAAFS-0                AKTPAFS-0         
AKTAAFS-1                AKTPAFS-1         
AKTAAFS-2                AKTPAFS-2         
AKTAAFS-3                AKTPAFS-3         
AktAHERW-1               AktPTAX-1         
AktAHERW-2               AktPTAX-2         
AktAHERW-3               AktPTAX-3         
AKTAINV-2                AKTPINV-2         
AKTATAX-0                AKTPTAX-0         
AKTATAX-1                AKTPTAX-1         
AKTATAX-2                AKTPTAX-2         
AKTATAX-3                AKTPTAX-3         
AKTB-0                   AKTN-0            
AKTB-1                   AKTN-1            
AKTB-3                   AKTN-3            
AKTBAFS-0                AKTNAFS-0         
AKTBAFS-1                AKTNAFS-1         
AKTBAFS-2                AKTNAFS-2         
AKTBAFS-3                AKTNAFS-3         
AktBHERW-1               AktNTAX-1         
AktBHERW-2               AktNTAX-2         
AktBHERW-3               AktNTAX-3         
AKTBINV-2                AKTNINV-2         
AKTBTAX-0                AKTNTAX-0         
AKTBTAX-1                AKTNTAX-1         
AKTBTAX-2                AKTNTAX-2         
AKTBTAX-3                AKTNTAX-3         
AKTBTWHERW-1          AKTBTWTAX-1
AKTBTWHERW-2          AKTBTWTAX-2
AKTBTWHERW-3          AKTBTWTAX-3
                  
                  
                  
AKTDHERW-1            AKTDTAX-1
AKTDHERW-2            AKTDTAX-2
AKTDHERW-3            AKTDTAX-3
                  
                  
                  
AKTE-0                OVFINVA-0
AKTE-1                OVFINVA-1
AKTE-3                OVFINVA-3
AKTE-4                   OVFINVA-4

AKTEAFS-1             OVBUITLASTEN-1
AKTEAFS-2             OVBUITLASTEN-2
AKTEAFS-3             OVBUITLASTEN-3
AKTEAFS-4                OVBUITLASTEN-4

AKTEHERW-1            OVFINVATAX-1
AKTEHERW-2            OVFINVATAX-2
AKTEHERW-3            OVFINVATAX-3
AKTEHERW-4               OVFINVATAX-4

BRANCHEAANV-1         SECTOREXTRAINFO-1
BRANCHEAANV-2         SECTOREXTRAINFO-2
BRANCHEAANV-3         SECTOREXTRAINFO-3
BrancheCode-1            SectorCode-1      
BUITBEL-0             OVBUITLASTEN-0
BUITBEL-1             OVBUITLASTEN-1
BUITBEL-2             OVBUITLASTEN-2
BUITBEL-3             OVBUITLASTEN-3
BURGSTAATDIR-1           TEMP_PRE_BURGSTAATDIR-1    
BURGSTAATDIR2-1          TEMP_PRE_BURGSTAATDIR02-1    
BURGSTAATDIR3-1          TEMP_PRE_BURGSTAATDIR03-1    
BURGSTAATDIR4-1          TEMP_PRE_BURGSTAATDIR04-1    
BURGSTAATDIR5-1          TEMP_PRE_BURGSTAATDIR05-1    
CHEQVORD-0            OVOVERLAKT-0
CHEQVORD-1            OVOVERLAKT-1
CHEQVORD-2            OVOVERLAKT-2
CHEQVORD-3            OVOVERLAKT-3
CHEQVORDHERW-1        OVOVERLAKTTAX-1
CHEQVORDHERW-2        OVOVERLAKTTAX-2
CHEQVORDHERW-3        OVOVERLAKTTAX-3
CORRCHEQVORD-1           TEMP_CORROVVORD4-1
CORRCHEQVORD-2           TEMP_CORROVVORD4-2
CORRCHEQVORD-3           TEMP_CORROVVORD4-3
CORRDIVVRD-1             TEMP_CORRDIVVRD-1
CORRDIVVRD-2             TEMP_CORRDIVVRD-2
CORRDIVVRD-3             TEMP_CORRDIVVRD-3
CORRFINVASTAKT-1         TEMP_CORRFINVA-1
CORRFINVASTAKT-2         TEMP_CORRFINVA-2
CORRFINVASTAKT-3         TEMP_CORRFINVA-3
CorrHandDeb-1            TEMP_CORRHANDDEB-1
CorrHandDeb-2            TEMP_CORRHANDDEB-2
CorrHandDeb-3            TEMP_CORRHANDDEB-3
CORRHANDVRD-1            TEMP_CORRHANDVRD-1
CORRHANDVRD-2            TEMP_CORRHANDVRD-2
CORRHANDVRD-3            TEMP_CORRHANDVRD-3
CORRHANDVRDHERWPERC-1    TEMP_CORRHANDVRDHERWPERC-1
CORRHANDVRDHERWPERC-2    TEMP_CORRHANDVRDHERWPERC-2
CORRHANDVRDHERWPERC-3    TEMP_CORRHANDVRDHERWPERC-3
LANGPARTVORDHERWPERC-1   TEMP_CORRLENINGUGHERWPERC-1
LANGPARTVORDHERWPERC-2   TEMP_CORRLENINGUGHERWPERC-2
LANGPARTVORDHERWPERC-2   TEMP_CORRLENINGUGHERWPERC-3
KortPartVordHerwPerc-1   TEMP_CORRKORTGMVORD-1
KortPartVordHerwPerc-2   TEMP_CORRKORTGMVORD-2
KortPartVordHerwPerc-3   TEMP_CORRKORTGMVORD-3
CORRMATVRD-1             TEMP_CORRMATVRD-1
CORRMATVRD-2             TEMP_CORRMATVRD-2
CORRMATVRD-3             TEMP_CORRMATVRD-3
CORRONDWERK-1            TEMP_CORRONDWERK-1
CORRONDWERK-2            TEMP_CORRONDWERK-2
CORRONDWERK-3            TEMP_CORRONDWERK-3
CORROVOVERLAKT-1         TEMP_CORROVOVERLAKT-1
CORROVOVERLAKT-2         TEMP_CORROVOVERLAKT-2
CORROVOVERLAKT-3         TEMP_CORROVOVERLAKT-3
CORROVVORD-1             TEMP_CORROVVORD-1
CORROVVORD-2             TEMP_CORROVVORD-2
CORROVVORD-3             TEMP_CORROVVORD-3
CORROVVRD-1              TEMP_CORROVVRD-1
CORROVVRD-2              TEMP_CORROVVRD-2
CORROVVRD-3              TEMP_CORROVVRD-3
CORRPRODVRD-1            TEMP_CORRPRODVRD-1 
CORRPRODVRD-2            TEMP_CORRPRODVRD-2
CORRPRODVRD-3            TEMP_CORRPRODVRD-3
CORRVOORVRD-1            TEMP_CORRVOORVRD-1
CORRVOORVRD-2            TEMP_CORRVOORVRD-2
CORRVOORVRD-3            TEMP_CORRVOORVRD-3
CORRVOORZVRD-1           TEMP_CORRVOORZVRD-1
CORRVOORZVRD-2           TEMP_CORRVOORZVRD-2
CORRVOORZVRD-3           TEMP_CORRVOORZVRD-3
CORRVOORBETBEL-1         TEMP_CORRVOORBETBEL-1
CORRVOORBETBEL-2         TEMP_CORRVOORBETBEL-2
CORRVOORBETBEL-3         TEMP_CORRVOORBETBEL-3 
CORRVOORZDEB-1           TEMP_CORRDEBVOORZ-1 
CORRVOORZDEB-2           TEMP_CORRDEBVOORZ-2 
CORRVOORZDEB-3           TEMP_CORRDEBVOORZ-3   
CORRTEONTVWIR-1          TEMP_CORRTEONTVWIR-1
CORRTEONTVWIR-2          TEMP_CORRTEONTVWIR-2
CORRTEONTVWIR-3          TEMP_CORRTEONTVWIR-3
DIVBUITLASTEN-0       OVBUITLASTEN-0
