; B01-V03.tbl

Storting-1
Storting-2
Storting-3
AgioRes-1             AgioReserve-1
AgioRes-2             AgioReserve-2
AgioRes-3             AgioReserve-3
AANLOOPK-1            KOOPGOODWILL-1
AANLOOPK-2            KOOPGOODWILL-2
OVRESCORR-1           OVRESCORR2-1
OVRESCORR-2           OVRESCORR2-2
AFLKJKRED6-1          AFLKJKRED5-1                         ;KRED6 IS IN V0T BSK
AFLKJKRED6-2          AFLKJKRED5-2
AFLKJKRED7-1          AFLKJKRED5-1
AFLKJKRED7-2          AFLKJKRED5-2
AFLKRED6-1            AFLKRED5-1                           ;KRED6 IS IN V0T BSK
AFLKRED6-2            AFLKRED5-2
AFLKRED7-1            AFLKRED5-1
AFLKRED7-2            AFLKRED5-2
AFSDUBDEB-1           OVOVK6-1
AFSDUBDEB-2           OVOVK6-2
AFSDUBDEB-3           OVOVK6-3
AKT9-0                AKTC-0
AKT9-1                AKTC-1
AKT9-3                AKTC-3
AKT9AFS-0             AKTCAFS-0
AKT9AFS-1             AKTCAFS-1
AKT9AFS-2             AKTCAFS-2
AKT9AFS-3             AKTCAFS-3
AKT9INV-2             AKTCINV-2
AKTA-0                AKTC-0
AKTA-1                AKTC-1
AKTA-3                AKTC-3
AKTAAFS-0             AKTCAFS-0
AKTAAFS-1             AKTCAFS-1
AKTAAFS-2             AKTCAFS-2
AKTAAFS-3             AKTCAFS-3
AKTAINV-2             AKTCINV-2
AKTB-0                AKTC-0
AKTB-1                AKTC-1
AKTB-3                AKTC-3
AKTBAFS-0             AKTCAFS-0
AKTBAFS-1             AKTCAFS-1
AKTBAFS-2             AKTCAFS-2
AKTBAFS-3             AKTCAFS-3
AKTBINV-2             AKTCINV-2
AKTE-0                OVFINVA-0
AKTE-1                OVFINVA-1
AKTE-3                OVFINVA-3
AKTEAFS-1             OVBUITLASTEN-1
AKTEAFS-2             OVBUITLASTEN-2
AKTEAFS-3             OVBUITLASTEN-3
BRANCHEAANV-1         SECTOREXTRAINFO-1
BRANCHEAANV-2         SECTOREXTRAINFO-2
BRANCHEAANV-3         SECTOREXTRAINFO-3
BUITBEL-0             OVBUITLASTEN-0
BUITBEL-1             OVBUITLASTEN-1
BUITBEL-2             OVBUITLASTEN-2
BUITBEL-3             OVBUITLASTEN-3
CHEQVORD-0            OVOVERLAKT-0
CHEQVORD-1            OVOVERLAKT-1
CHEQVORD-2            OVOVERLAKT-2
CHEQVORD-3            OVOVERLAKT-3
