COMPONENT;KEY;EN;NL;FR
DEF;..;..;..;
DEF;..|<50 pers: < 50 personen|<5000 pers: >=50 en <= 5000 personen|>5000 pers: > 5000 personen;..|<50 empl: < 50 employees|<5000 empl: >=50 and <= 5000 employees|>5000 empl: > 5000 employees;..|<50 pers: < 50 personen|<5000 pers: >=50 en <= 5000 personen|>5000 pers: > 5000 personen;
DEF;..|Aanvraag|Revisie|Overdispositie|Mutatie;..|Proposal|Renewal|Review|Excess borrowing|Modification;..|Aanvraag|Revisie|Overdispositie|Mutatie;
DEF;..|Bank|Cliënt|Derden;..|Bank|Client|Third parties;..|Bank|Cliënt|Derden;
DEF;..|Bestaand|Nieuw|Wijziging|Vervallen;..|Existing|New|Modification|Expired;..|Bestaand|Nieuw|Wijziging|Vervallen;
DEF;..|Contant gedekt of 100% gegarandeerd|Andere zekerheden|Geen zekerheden;..|Cash cover or 100% guarantee|Other securities|No securities;..|Contant gedekt of 100% gegarandeerd|Andere zekerheden|Geen zekerheden;
DEF;..|Directeur|Eigenaar|Firmant|Vennoot|Voorzitter|Vice-voorzitter|Lid|Bestuurder|Commissaris|DGA|Aandeelhouder|Penningmeester|Secretaris|n.v.t.|Maat;..|Managing director|Owner|Member of the firm|Partner|President|Vice-President|Member|Manager|Commissioner|Manager/shareholder|Shareholder|Treasurer|Secretary|n.a.|Partner;..|Directeur|Eigenaar|Firmant|Vennoot|Voorzitter|Vice-voorzitter|Lid|Bestuurder|Commissaris|DGA|Aandeelhouder|Penningmeester|Secretaris|n.v.t.|Maat;
DEF;..|Geregistreerd|Overgedragen HK|Analyse uitgevoerd|Gefiatteerd|Afgewezen|Offerte opgemaakt|Offerte geaccepeerd|Stukken opgemaakt|Faciliteiten verstrekt|Dossier akkoord;..|Registered|Transferred HO|Analysis done|Approved|Rejected|Offer drafted|Offer accepted|Documents drafted|Facilities extended|Document approved;..|Geregistreerd|Overgedragen HK|Analyse uitgevoerd|Gefiatteerd|Afgewezen|Offerte opgemaakt|Offerte geaccepeerd|Stukken opgemaakt|Faciliteiten verstrekt|Dossier akkoord;
DEF;..|Ja|Nee|n.v.t.;..|Yes|No|n.a.;..|Ja|Nee|n.v.t.;
DEF;..|Ja|Nee|onder voorbehoud|n.v.t.;..|Yes|No|With reservation|N.a.;..|Ja|Nee|onder voorbehoud|n.v.t.;
DEF;..|jaar|||kwartaal||||||||maand;..|year|||quarter||||||||month;..|jaar|||kwartaal||||||||maand;
DEF;..|jaar|halfjaar||kwartaal||||||||maand|ineens;..|year|half-year||quarter|||||||||month|at once;..|jaar|halfjaar||kwartaal||||||||maand|ineens;
DEF;..|Laag risico|Gemiddeld risico|Hoog risico;..|Low risk|Medium risk|High risk;..|Laag risico|Gemiddeld risico|Hoog risico;
DEF;..|Li (Lineair)|A (Annuïteit)|L (Leven)|Gn (Aflossingsvrij);..|Li (Linear)|A (Annuity)|L (Life)|G (Grace period)|B (Bullet);..|Li (Lineair)|A (Annuïteit)|L (Leven)|Gn (Aflossingsvrij);
DEF;..|maand|kwartaal|jaar|halfjaar;..|month|quarter|year|half-year;..|maand|kwartaal|jaar|halfjaar;
DEF;..|Nee|Ja;..|No|Yes;..|Nee|Ja;
DEF;..|Niet acceptabel|Hoog|Hoog-gemiddeld|Gemiddeld|Gemiddeld-laag|Laag;..|Unacceptable|High|High-Medium|Medium|Medium-low|Low;..|Niet acceptabel|Hoog|Hoog-gemiddeld|Gemiddeld|Gemiddeld-laag|Laag;
DEF;..|Ongehuwd|Huw.voorw.|Gem.v.goed.|Gehuwd gew.;..|Unmarried|Marriage settlement|Marital community of property|Not married anymore.;..|Ongehuwd|Huw.voorw.|Gem.v.goed.|Gehuwd gew.;
DEF;..|RA|AA|overige;..|CPA|other;..|RA|AA|overige;
DEF;..|Slecht|Matig|Redelijk|Goed;..|Bad|Moderate|Reasonable|Good;..|Slecht|Matig|Redelijk|Goed;
DEF;..|ST|IB|BB;..|ST (Starter)|SL (Standard Loan)|PL (Problem or Watch Loan);..|ST|IB|BB;
DEF;" Het invullen van dit tarief betekent dat de totale belastingsom wordt bepaald op basis van dit tarief";Total taxes will be determined by this rate when entered;" Het invullen van dit tarief betekent dat de totale belastingsom wordt bepaald op basis van dit tarief";
DEF;"%s1"""" imported, renamed to """"%s2""""";%s1’ imported, renamed to ‘%s2’;%s1’ imported, renamed to ‘%s2’;
DEF;"Bij een waarde ongelijk aan "".."" klopt deze kolom niet. Rapportage is dan niet mogelijk. Zie onder PgDn";In case of a value unequal to ‘..’, this column is not correct. It then is not able to create reports. See PgDn.;Bij een waarde ongelijk aan ‘..’ klopt deze kolom niet. Rapportage is dan niet mogelijk. Zie onder PgDn;
DEF;"Desgewenst omschrijving veranderen in ""Toegevoegde waarde"" bij een productieonderneming";Description can be changed optionally to ‘added value’ in case of a production company;Desgewenst omschrijving veranderen in ‘Toegevoegde waarde’ bij een productieonderneming;
DEF;"Een bedrag dat wordt getoond bij ""Overige mutaties eigen vermogen"" kan worden geaccepteerd door ""ja"" in te vullen";An amount shown in ‘Other changes in net worth’ can be accepted by entering ‘yes’;Een bedrag dat wordt getoond bij ‘Overige mutaties eigen vermogen’ kan worden geaccepteerd door ‘ja’ in te vullen;
DEF;"Gebruik dit patroon om de kosten te herdelen naar uitgaven in het liquiditeitsoverzicht.|Let op: Het ontvangstpatroon kan alleen worden ingevoerd bij de ""Prognosevariabelen"" of via een Omzet-Optie.";Use this pattern for redividing to expenses in the statement of liquidity costs.<br />Please note: The reception pattern can only be entered in the ‘Forecast Variables’ or a Revenue Option.;Gebruik dit patroon om de kosten te herdelen naar uitgaven in het liquiditeitsoverzicht.<br />Let op: Het ontvangstpatroon kan alleen worden ingevoerd bij de ‘Prognosevariabelen’ of via een Omzet-Optie.;
