;VAN IFRS->IFRS
AdvancesAndDeferredIncomeC-1 AdvancesAndDeferredIncomeCurrent-1
AdvancesAndDeferredIncomeNC-1 AdvancesAndDeferredIncomeNonCurrent-1
DecommisioningAndEnvironmentalCosts-1 DecommisioningAndEnvironmentalCostsNonCurrent
DecommissioningAndEnvironmentalCosts-1 DecommissioningAndEnvironmentalCostsCurrent-1
ShareOptionCostsB-1 ShareOptionCostsNonCurrent-1
ShareOptionCostsC-1 ShareOptionCostsCurrent-1
ShareOptionCostsF-1 ShareOptionCosts-1
FinanceLeasesNC-1 FinanceLeasesNonCurrent-1
FinanceLeasesC-1 FinanceLeasesCurrent-1
SocialSecurityAndOtherTaxesC-1 SocialSecurityAndOtherTaxesCurrent-1
SocialSecurityAndOtherTaxesNC-1 SocialSecurityAndOtherTaxesNonCurrent-1
DueFromRelatedParties-1 DueFromRelatedPartiesNonCurrent-1
DueFromRelatedParties1-1 DueFromRelatedPartiesCurrent-1
DueFromShareholder-1  DueFromShareholderNonCurrent-1
DueFromShareholder1-1 DueFromShareholderCurrent-1
DueToRelatedPartiesC-1 DueToRelatedPartiesCurrent-1
DueToRelatedPartiesNC-1 DueToRelatedPartiesNonCurrent-1
DueToShareHolderC-1 DueToShareHolderCurrent-1
DueToShareholderNC-1 DueToShareholderNonCurrent-1
ChangesOutsideResult-1 OtherAdjustmentsToRetainedProfits-1
