COMPONENT;KEY;EN;NL
crm;auditionId;Relatienummer (CLP);Relatienummer (CLP)
crm;auditionId.customer_reference_already_exists;Relatienummer (CLP) bestaat al;Relatienummer (CLP) bestaat al
crm;audition_id;Relatienummer (CLP);Relatienummer (CLP)
crm;company;Cliënt;Cliënt
crm;company_name;Cliëntnaam;Cliëntnaam
crm;INGKLANT;Klant;Klant
crm;noCustomerNumberAvailable;Er is geen cliëntnummer beschikbaar;Er is geen cliëntnummer beschikbaar
crm;no_access_to_customer;U heeft geen toegang tot deze klant;U heeft geen toegang tot deze klant
crm;referenceId;Relatienummer (CLP);Relatienummer (CLP)
crm;referenceid;Relatienummer (CLP);Relatienummer (CLP)
crm;referenceId.customer_reference_already_exists;Het opgegeven relatienummer (CLP) is al bekend in het systeem;Het opgegeven relatienummer (CLP) is al bekend in het systeem
crm;search_company;Zoek cliënt;Zoek cliënt
crm;searchcompanyform.customerNumber.PatternValidator;Cliëntnummer moet een geldig waarde zijn van maximaal 10 getallen.;Cliëntnummer moet een geldig waarde zijn van maximaal 10 getallen.
crm;INGSCG3;Kredietaanvraagmodel;Kredietaanvraagmodel
crm;INGSCG3REV;Kredietrevisie GB&I;Kredietrevisie GB&I
crm;INGVERSLAG;Fiatdocument;Fiatdocument
crm;MKBMW;Switcher;Switcher
crm;REVISIE;Revisie;Revisie
crm;REVISIEGBI;Revisie Pilot GB&I NW;Revisie Pilot GB&I NW
crm;REVISIEMKB;SBF Kredietrevisie;SBF Kredietrevisie
crm;REVISIEMKB2;Limietgebruik (PoC);Limietgebruik (PoC)
crm;SCORECARDTESTMODEL;Scorecard Test Model;Scorecard Test Model
crm;number_created_questionnaires ;Number of questionnaires created;Aantal aangemaakte vragenlijsten
crm;number_created_sessions ;Number of sessions created;Aantal gestarte sessies
crm;number_customers_opened ;Number of customers opened;Aantal geopende cliënten
crm;number_reports_generated ;Number of generated reports;Aantal gegenereerde rapportages
crm;number_questionnaires_made_final ;Number of questionnaires made final;Aantal definitief gemaakte vragenlijsten
crm;number_new_customers ;Number of new customers;Aantal nieuwe cliënten
crm;number_new_users ;Number of new users;Aantal nieuwe gebruikers
crm;number_current_loggedin_users ;Number of users currently logged in;Aantal ingelogde gebruikers
crm;STARTER;Starter;Starter
k3;questionnaires;Vragenlijsten;Vragenlijsten
crm;questionnaires;Vragenlijsten;Vragenlijsten
k3; Reason: {0};Reden: {0};Reden: {0}
k3;CRR;Credit Risk Rating (CCRM);Credit Risk Rating (CCRM)
k3;Checking {0} for updates;{0} controleren op updates;{0} controleren op updates
k3;DUMMY;Test service;Test service
