"Generated by FINAN v3.2.42.7 on 28-10-2013 16:01"
"Model V05 v3.1.1.40"

"VarName";"OrgVarName";"IsCopyVar";"ScreenNr";"Sort";"Level";"Description";"D/C";"InCalcTree";"FinanDataType";"DataType";"Prot Title";"Prot NoTrend";"Prot Trend";"Prot User";"Prot Sector";"InputSaved Title";"InputSaved NoTrend";"InputSaved Trend";"InputSaved User";"InputSaved Sector";"SaveCalculated";"GDET";"Freq";"DisplayAs";"CalcYearAs";"IsTuple";"IsInTuple";"Visible";"Visible Formula";"Locked Formula";"InputRequired Formula";"Validation Formula";"InHiddenTree";"Scalable";"Currency";"DataFeatureChar";"LicFeatureChar";"ShowWhenValue";"Unspec";"Formula0 (Title)";"Formula1 (NoTrend)";"Formula2 (Trend)";"Formula3 (User)";"Formula4 (Sector)";"Template";"Hint"
"ROOT";ROOT;No;"S";4;0;"Prognosemodel v3.1.1.40";;No;Number;Abstract;Locked;Locked;Locked;Locked;Locked;No;No;No;No;No;No;No;Detail;Default;Ultimo;No;No;Yes;"1";"0";"0";"1";No;Yes;Yes; ; ;No;;"&""Prognosemodel v3.1.1.40""";"";"";"";"";"";""
"HiddenVars";HiddenVars;No;"S01";5;1;"   Verborgen variabelen";;No;Number;Abstract;Locked;Locked;Locked;Locked;Locked;No;No;No;No;No;No;No;Single;Default;None;No;No;No;"AdminMode[1]";"0";"0";"1";No;Yes;Yes; ; ;No;;"Verborgen variabelen";"";"";"";"";"";""
"LastModifyDate";LastModifyDate;No;"S01-01";6;2;"      Laatste wijziging";;No;Number;Date;Locked;UnLocked;UnLocked;UnLocked;UnLocked;No;Yes;Yes;Yes;Yes;No;Yes;Single;Date;None;No;No;Yes;"1";"0";"0";"1";Yes;No;No; ; ;No;;"Laatste wijziging";"";"";"";"";"dddddd";""
"LastModifyUser";LastModifyUser;No;"S01-02";7;2;"      Laatste wijziging door";;No;String;String;Locked;UnLocked;UnLocked;UnLocked;UnLocked;No;Yes;Yes;Yes;Yes;No;Yes;Single;Default;None;No;No;Yes;"1";"0";"0";"1";Yes;No;No; ; ;No;;"Laatste wijziging door";"";"";"";"";"";""
"FES_VARS";FES_VARS;No;"S01-03";8;2;"      FES_VARS";;No;Number;Abstract;Locked;Locked;Locked;Locked;Locked;No;No;No;No;No;No;No;Single;Default;None;No;No;Yes;"1";"0";"0";"1";Yes;Yes;Yes; ; ;No;;"FES_VARS";"";"";"";"";"";""
"FES_LAYOUTNR";FES_LAYOUTNR;No;"S01-03-01";9;3;"         Layout";;No;Number;Monetary;Locked;Locked;Locked;Locked;Locked;No;No;No;No;No;No;No;Single;Default;None;No;No;Yes;"1";"0";"0";"1";Yes;Yes;Yes; ; ;No;;"Layout";"";"";"";"";"";""
"FES_EXCHANGE_RATES";FES_EXCHANGE_RATES;No;"S01-03-02";10;3;"         Wisselkoersen";;No;String;String;Locked;UnLocked;UnLocked;UnLocked;Hidden;No;Yes;Yes;Yes;No;No;No;Detail;Default;Ultimo;No;No;Yes;"1";"0";"0";"1";Yes;No;No; ; ;No;;"Wisselkoersen";"";"";"";"";"";""
"FES_LAYOUT";FES_LAYOUT;No;"S01-03-03";11;3;"         Layout naam";;No;String;String;Locked;UnLocked;UnLocked;UnLocked;UnLocked;No;Yes;Yes;Yes;Yes;No;Yes;Single;Default;None;No;No;Yes;"1";"0";"0";"1";Yes;No;No; ; ;No;;"Layout naam";"";"";"";"";"";""
"FES_FLATINPUT";FES_FLATINPUT;No;"S01-03-04";12;3;"         Wordt platte invoer gebruikt? (1=ja)";;No;Number;Number;Locked;UnLocked;UnLocked;UnLocked;UnLocked;No;Yes;Yes;Yes;Yes;No;Yes;Single;Default;None;No;No;Yes;"1";"0";"0";"1";Yes;No;No; ; ;No;;"Wordt platte invoer gebruikt? (1=ja)";"";"";"";"";"";""
"FES_PROJECTION_PROFILE";FES_PROJECTION_PROFILE;No;"S01-03-05";13;3;"         Prognose profiel";;No;Number;Number;Locked;UnLocked;UnLocked;UnLocked;UnLocked;No;Yes;Yes;Yes;Yes;No;Yes;Single;Default;None;No;No;Yes;"1";"0";"0";"1";Yes;No;No; ; ;No;;"Prognose profiel";"";"";"";"";"";""
